ASN00002009 -16.4203 126.4411 PRCP 1922 2022
ASN00002009 -16.4203 126.4411 DAPR 1971 1999
ASN00002009 -16.4203 126.4411 DWPR 1971 1996
ASN00002009 -16.4203 126.4411 MDPR 1971 1999
ASN00002010 -18.7506 128.5842 PRCP 1919 1997
ASN00002010 -18.7506 128.5842 DAPR 1996 1997
ASN00002010 -18.7506 128.5842 DWPR 1996 1996
ASN00002010 -18.7506 128.5842 MDPR 1996 1997
ASN00002011 -18.2519 127.7817 TMAX 1898 1969
ASN00002011 -18.2519 127.7817 TMIN 1898 1969
ASN00002011 -18.2519 127.7817 PRCP 1891 1998
ASN00002011 -18.2519 127.7817 DAPR 1970 1970
ASN00002011 -18.2519 127.7817 DATN 1898 1951
ASN00002011 -18.2519 127.7817 DATX 1905 1951
ASN00002011 -18.2519 127.7817 DWPR 1970 1970
ASN00002011 -18.2519 127.7817 MDPR 1970 1970
ASN00002011 -18.2519 127.7817 MDTN 1898 1951
ASN00002011 -18.2519 127.7817 MDTX 1905 1951
ASN00002012 -18.2292 127.6636 TMAX 1944 2022
ASN00002012 -18.2292 127.6636 TMIN 1944 2022
ASN00002012 -18.2292 127.6636 PRCP 1944 2022
ASN00002012 -18.2292 127.6636 DAPR 2002 2016
ASN00002012 -18.2292 127.6636 DATN 2014 2014
ASN00002012 -18.2292 127.6636 DATX 2014 2014
ASN00002012 -18.2292 127.6636 DWPR 2002 2016
ASN00002012 -18.2292 127.6636 MDPR 2002 2016
ASN00002012 -18.2292 127.6636 MDTN 2014 2014
ASN00002012 -18.2292 127.6636 MDTX 2014 2014
ASN00002012 -18.2292 127.6636 TAVG 1944 2022
ASN00002013 -15.6900 128.6833 PRCP 1907 2021
ASN00002013 -15.6900 128.6833 DAPR 1972 2012
ASN00002013 -15.6900 128.6833 DWPR 1972 2012
ASN00002013 -15.6900 128.6833 MDPR 1972 2012
ASN00002014 -15.6547 128.7092 TMAX 1965 2010
ASN00002014 -15.6547 128.7092 TMIN 1965 2010
ASN00002014 -15.6547 128.7092 PRCP 1944 2010
ASN00002014 -15.6547 128.7092 DAPR 1950 2010
ASN00002014 -15.6547 128.7092 DATN 1986 2010
ASN00002014 -15.6547 128.7092 DATX 1986 2010
ASN00002014 -15.6547 128.7092 DWPR 1950 2010
ASN00002014 -15.6547 128.7092 MDPR 1950 2010
ASN00002014 -15.6547 128.7092 MDTN 1986 2010
ASN00002014 -15.6547 128.7092 MDTX 1986 2010
ASN00002015 -18.4086 127.3547 PRCP 1920 2007
ASN00002015 -18.4086 127.3547 DAPR 1971 2007
ASN00002015 -18.4086 127.3547 DWPR 1971 2007
ASN00002015 -18.4086 127.3547 MDPR 1971 2007
ASN00002016 -16.6742 128.5533 PRCP 1896 2009
ASN00002016 -16.6742 128.5533 DAPR 1973 2006
ASN00002016 -16.6742 128.5533 DWPR 1973 2005
ASN00002016 -16.6742 128.5533 MDPR 1973 2006
ASN00002017 -18.7106 126.7111 PRCP 1916 1995
ASN00002017 -18.7106 126.7111 DAPR 1991 1991
ASN00002017 -18.7106 126.7111 DWPR 1991 1991
ASN00002017 -18.7106 126.7111 MDPR 1991 1991
ASN00002018 -17.1792 128.1217 PRCP 1922 2004
ASN00002018 -17.1792 128.1217 DAPR 1964 2004
ASN00002018 -17.1792 128.1217 DWPR 1964 2004
ASN00002018 -17.1792 128.1217 MDPR 1964 2004
ASN00002019 -18.6253 126.8617 PRCP 1914 2018
ASN00002019 -18.6253 126.8617 DAPR 1979 2004
ASN00002019 -18.6253 126.8617 DWPR 1979 2004
ASN00002019 -18.6253 126.8617 MDPR 1979 2004
ASN00002020 -18.1894 127.5011 PRCP 1904 2021
ASN00002020 -18.1894 127.5011 DAPR 1976 2002
ASN00002020 -18.1894 127.5011 DWPR 1976 2002
ASN00002020 -18.1894 127.5011 MDPR 1976 2002
ASN00002021 -18.3869 126.9892 PRCP 1925 2022
ASN00002021 -18.3869 126.9892 DAPR 1973 1973
ASN00002021 -18.3869 126.9892 DWPR 1973 1973
ASN00002021 -18.3869 126.9892 MDPR 1973 1973
ASN00002022 -18.0160 126.3033 PRCP 2000 2022
ASN00002023 -18.0308 128.8942 PRCP 1923 2022
ASN00002023 -18.0308 128.8942 DAPR 1976 2021
ASN00002023 -18.0308 128.8942 DWPR 1976 2021
ASN00002023 -18.0308 128.8942 MDPR 1976 2021
ASN00002024 -17.4000 128.8500 PRCP 1894 1967
ASN00002025 -18.3667 127.5667 PRCP 1922 1949
ASN00002026 -18.5958 127.6419 PRCP 1901 2022
ASN00002026 -18.5958 127.6419 DAPR 2001 2020
ASN00002026 -18.5958 127.6419 DWPR 2001 2020
ASN00002026 -18.5958 127.6419 MDPR 2001 2020
ASN00002027 -16.3500 128.0333 PRCP 1908 1944
ASN00002028 -16.8181 128.8656 PRCP 1927 2022
ASN00002028 -16.8181 128.8656 DAPR 1972 2003
ASN00002028 -16.8181 128.8656 DWPR 1972 2003
ASN00002028 -16.8181 128.8656 MDPR 1972 2003
ASN00002029 -19.1625 128.1633 PRCP 1899 2022
ASN00002029 -19.1625 128.1633 DAPR 1978 2016
ASN00002029 -19.1625 128.1633 DWPR 1978 2016
ASN00002029 -19.1625 128.1633 MDPR 1978 2016
ASN00002030 -17.2964 126.9150 PRCP 1950 2021
ASN00002030 -17.2964 126.9150 DAPR 1969 1993
ASN00002030 -17.2964 126.9150 DWPR 1969 1993
ASN00002030 -17.2964 126.9150 MDPR 1969 1993
ASN00002031 -17.0103 128.4669 PRCP 1922 1995
ASN00002031 -17.0103 128.4669 DAPR 1991 1994
ASN00002031 -17.0103 128.4669 DWPR 1991 1994
ASN00002031 -17.0103 128.4669 MDPR 1991 1994
ASN00002032 -17.0156 128.2175 TMAX 1962 2022
ASN00002032 -17.0156 128.2175 TMIN 1962 2022
ASN00002032 -17.0156 128.2175 PRCP 1898 2022
ASN00002032 -17.0156 128.2175 DAPR 1971 2022
ASN00002032 -17.0156 128.2175 DATN 1988 2022
ASN00002032 -17.0156 128.2175 DATX 1988 2022
ASN00002032 -17.0156 128.2175 DWPR 1971 2017
ASN00002032 -17.0156 128.2175 MDPR 1971 2022
ASN00002032 -17.0156 128.2175 MDTN 1988 2022
ASN00002032 -17.0156 128.2175 MDTX 1988 2022
ASN00002033 -17.8000 128.3000 PRCP 1920 1965
ASN00002034 -18.4500 127.9500 PRCP 1962 1969
ASN00002035 -17.1500 127.7500 PRCP 1914 1944
ASN00002035 -17.1500 127.7500 DAPR 1937 1937
ASN00002035 -17.1500 127.7500 DWPR 1937 1937
ASN00002035 -17.1500 127.7500 MDPR 1937 1937
ASN00002036 -17.3922 126.2306 PRCP 2002 2021
ASN00002037 -17.3000 128.0000 PRCP 1912 1941
