,index,year,filiere,banque,ecole,inscrits_nb,inscrits_filles,inscrits_cinq_demi,admissibles_nb,admissibles_filles,admissibles_cinq_demi,classes_nb,classes_filles,classes_cinq_demi,rg_dernier_appele,integres_nb,integres_filles,integres_cinq_demi,places,appeles,integres_rg_median,integres_rg_moyen
108,10541,2020,pc,CESI,Concours CESI Ecole d'Ingénieurs-Ingénieur en Informatique (interFilère),114.0,11.4,7.9,,,,53.0,11.3,7.5,,8.0,,,49.0,,,
109,10546,2020,pc,EPITA,Concours EPITA / IPSA / ESME PC,371.0,36.9,20.5,,,,200.0,38.0,21.0,,24.0,,,29.0,,,
110,10559,2020,tb,Concours  A TB BIO,Concours A TB BIO,160.0,60.6,20.6,,,,95.0,56.8,27.4,,54.0,,,56.0,,,
111,10565,2020,tb,Concours A TB ENV,Concours TB ENV,66.0,65.2,18.2,,,,27.0,51.9,33.3,,10.0,,,10.0,,,
112,10578,2020,tb,Concours POLYTECH A TB,Concours POLYTECH A TB,134.0,59.7,20.1,,,,79.0,51.9,24.1,,15.0,,,18.0,,,
113,10584,2020,tb,Groupe INSA,Concours INSA DomaineBiotechnologies-santé TB,60.0,60.0,21.7,,,,28.0,60.7,21.4,,3.0,,,4.0,,,
114,10601,2020,tpc,CONCOURS COMMUN INP,Concours CCINP TPC,83.0,44.6,18.1,,,,61.0,41.0,19.7,,39.0,,,42.0,,,
115,10622,2020,psi,BANQUE CENTRALE-SUPELEC,Concours Cycle International Centrale-Supelec PSI,92.0,37.0,8.7,,,,35.0,34.3,8.6,,11.0,,,14.0,,,
116,10627,2020,psi,BANQUE CENTRALE-SUPELEC,Concours ARTS ET MÉTIERS ParisTech PSI,3439.0,22.6,19.3,,,,2156.0,21.3,20.7,,257.0,,,267.0,,,
117,10632,2020,psi,BANQUE CENTRALE-SUPELEC,Concours EPF Sceaux-Troyes-Montpellier PSI,886.0,33.0,16.3,,,,683.0,33.7,15.5,,22.0,,,24.0,,,
118,10639,2020,psi,BANQUE CENTRALE-SUPELEC,Concours ESTP PSI,1532.0,28.7,18.5,,,,1287.0,28.3,17.6,,188.0,,,187.0,,,
119,10654,2020,psi,CONCOURS COMMUN MINES-PONTS,Concours CCMP PSI,3715.0,21.9,16.9,,,,1292.0,17.1,13.9,,449.0,,,428.0,,,
120,10665,2020,psi,Concours Mines - Télécom,Concours Mines-Télécom PSI,4211.0,23.6,17.6,,,,2442.0,22.5,17.5,,317.0,,,315.0,,,
121,10673,2020,psi,Concours Mines - Télécom,Concours Mines-Télécom Spécifique PSI,4211.0,23.6,17.6,,,,3160.0,23.4,17.8,,73.0,,,59.0,,,
122,10676,2020,psi,CONCOURS COMMUN TPE,Concours TPE-Candidats français et de l'Union européenne-filière PSI,2255.0,26.6,18.8,,,,1279.0,25.5,20.0,,52.0,,,50.0,,,
123,10720,2020,psi,CONCOURS COMMUN INP,Concours CCINP PSI,5301.0,24.9,16.6,,,,3652.0,23.2,17.7,,875.0,,,877.0,,,
124,10726,2020,psi,BANQUE EPREUVES CCINP  Inter-Filière,Concours ENSIL-ENSCI Inter Fil.,1102.0,29.9,15.0,,,,835.0,28.9,14.1,,39.0,,,145.0,,,
125,10738,2020,psi,BANQUE EPREUVES CCINP,Concours ENSISA PSI,1236.0,29.4,15.0,,,,821.0,26.7,14.6,,25.0,,,28.0,,,
126,10841,2020,psi,CONCOURS POLYTECH Inter-Filière,Concours POLYTECH MP-PC-PSI,2844.0,27.8,16.4,,,,2144.0,27.1,16.1,,192.0,,,739.0,,,
127,10853,2020,psi,Puissance Alpha,Concours ISEN Méditerrannée PSI,1202.0,28.6,14.7,,,,1054.0,28.7,15.1,,11.0,,,20.0,,,
128,10856,2020,psi,Puissance Alpha,Concours ISEN Ouest PSI,1202.0,28.6,14.7,,,,1054.0,28.7,15.1,,4.0,,,20.0,,,
129,10862,2020,psi,Avenir Prépas,Concours ECE Paris-Lyon PSI,1544.0,27.6,17.6,,,,1364.0,27.5,18.1,,42.0,,,56.0,,,
130,10872,2020,psi,Avenir Prépas,Concours ESTACA Paris-Saclay/Laval PSI,1544.0,27.6,17.6,,,,620.0,26.0,24.5,,21.0,,,13.0,,,
131,10883,2020,psi,Autres écoles E3A,Concours EIL Côte d'Opale Longuenesse-Calais-Dunkerque PSI,462.0,30.1,14.1,,,,389.0,28.5,13.6,,40.0,,,50.0,,,
132,10886,2020,psi,Autres écoles E3A,Concours ENSAIT Roubaix PSI,568.0,33.5,16.2,,,,354.0,32.8,16.9,,14.0,,,17.0,,,
133,10899,2020,psi,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie mécanique, génie industriel et mécatronique PSI-PT",3281.0,21.0,17.7,,,,1956.0,21.3,19.4,,59.0,,,61.0,,,
134,10904,2020,psi,Groupe INSA Inter-Filière,Concours INSA DomaineBiotechnologies-santé MP-PC-PSI-BCPST-TPC,4009.0,47.3,19.8,,,,2097.0,49.7,21.5,,22.0,,,13.0,,,
135,10912,2020,psi,Groupe INSA Inter-Filière,Concours INSA DomaineEnergétique – Génie Chimique – Environnement MP-PC-PSI,4146.0,37.5,19.3,,,,1506.0,37.5,21.6,,35.0,,,43.0,,,
136,10919,2020,psi,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie électrique, électronique, automatique MP-PC-PSI-PT",4812.0,24.9,18.7,,,,1964.0,24.2,20.1,,23.0,,,31.0,,,
137,10926,2020,psi,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie civil, urbanisme, topographie MP-PC",2294.0,36.4,19.4,,,,1186.0,38.2,18.7,,17.0,,,19.0,,,
138,10933,2020,psi,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie civil, urbanisme, topographie PSI-PT",2396.0,25.2,17.7,,,,1278.0,25.0,20.6,,36.0,,,37.0,,,
139,10942,2020,psi,Groupe INSA Inter-Filière,"Concours INSA Domaine Informatique, mathématique, modélisation PC-PSI-PT",3132.0,23.5,19.5,,,,1047.0,22.4,21.7,,20.0,,,22.0,,,
140,10953,2020,psi,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie mécanique, génie industriel et mécatronique PSI-PT",3281.0,21.0,17.7,,,,1956.0,21.3,19.4,,81.0,,,111.0,,,
141,10959,2020,psi,Groupe INSA Inter-Filière,Concours INSA Domaine Génie physique et matériaux MP-PC-PSI,4540.0,32.5,19.2,,,,2206.0,33.7,19.9,,27.0,,,46.0,,,
142,10965,2020,psi,Groupe INSA Inter-Filière,Concours INSA Domaine Génie physique et matériaux TSI-PT-TPC,1609.0,14.2,19.1,,,,702.0,13.2,21.5,,4.0,,,12.0,,,
143,10975,2020,psi,CESI,Concours CESI Ecole d'Ingénieurs-Ingénieur Généraliste,385.0,30.6,15.8,,,,162.0,36.4,17.3,,24.0,,,89.0,,,
144,10992,2020,psi,CESI,Concours CESI Ecole d'Ingénieurs-Ingénieur en Informatique (interFilère),114.0,11.4,7.9,,,,53.0,11.3,7.5,,8.0,,,49.0,,,
145,10997,2020,psi,EPITA,Concours EPITA / IPSA / ESME PSI,427.0,26.9,13.6,,,,252.0,23.4,13.5,,45.0,,,52.0,,,
146,11012,2020,bcpst,A BIO,Concours A BIO,2989.0,70.8,21.2,,,,2258.0,70.7,25.3,,952.0,,,978.0,,,
147,11018,2020,bcpst,A ENV,Concours A ENV,2013.0,73.7,26.8,,,,629.0,72.3,38.0,,462.0,,,462.0,,,
148,11026,2020,bcpst,PC BIO,Concours A PC BIO,1254.0,69.9,23.2,,,,641.0,68.8,28.1,,25.0,,,33.0,,,
149,11034,2020,bcpst,G2E,Concours ENGEES G2E-BCPST,1588.0,69.6,18.1,,,,1195.0,71.1,21.8,,28.0,,,29.0,,,
150,11044,2020,bcpst,G2E,Concours Polytech G2E-BCPST,1588.0,69.6,18.1,,,,1195.0,71.1,21.8,,13.0,,,16.0,,,
151,11048,2020,bcpst,G2E,Concours concours ENSG Marne La vallée G2E-BCPST,1588.0,69.6,18.1,,,,1195.0,71.1,21.8,,11.0,,,10.0,,,
152,11053,2020,bcpst,G2E,Concours concours des écoles des Mines G2E-BCPST,1588.0,69.6,18.1,,,,1195.0,71.1,21.8,,10.0,,,11.0,,,
153,11078,2020,bcpst,CONCOURS POLYTECH,Concours POLYTECH A BIO,1829.0,73.5,21.2,,,,1353.0,74.1,23.1,,106.0,,,125.0,,,
154,11085,2020,bcpst,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie mécanique, génie industriel et mécatronique PSI-PT",3281.0,21.0,17.7,,,,1956.0,21.3,19.4,,59.0,,,61.0,,,
155,11090,2020,bcpst,Groupe INSA Inter-Filière,Concours INSA DomaineBiotechnologies-santé MP-PC-PSI-BCPST-TPC,4009.0,47.3,19.8,,,,2097.0,49.7,21.5,,22.0,,,13.0,,,
156,11098,2020,bcpst,Groupe INSA Inter-Filière,Concours INSA DomaineEnergétique – Génie Chimique – Environnement MP-PC-PSI,4146.0,37.5,19.3,,,,1506.0,37.5,21.6,,35.0,,,43.0,,,
157,11105,2020,bcpst,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie électrique, électronique, automatique MP-PC-PSI-PT",4812.0,24.9,18.7,,,,1964.0,24.2,20.1,,23.0,,,31.0,,,
158,11112,2020,bcpst,Groupe INSA Inter-Filière,"Concours INSA Domaine Génie civil, urbanisme, topographie MP-PC",2294.0,36.4,19.4,,,,1186.0,38.2,18.7,,17.0,,,19.0,,,
