adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/3umSuaSibCcNGAnsWYUyauLTZwE.jpg,"[27, 35]",9406,en,An American Werewolf in Paris,An American man unwittingly gets involved with werewolves who have developed a serum allowing them to transform at will.,16.01,/1NUOprbP7LLfKPArLJY7wziUiHT.jpg,1997-05-29,An American Werewolf in Paris,False,5.9,513
False,/xLVW7TZ8ps8XuojUEztZEILDlJm.jpg,"[28, 18, 9648, 53]",8834,en,Conspiracy Theory,"A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",15.752,/wj0n6gci4EMWRhV9ozCKTgESGdB.jpg,1997-08-08,Conspiracy Theory,False,6.6,1122
False,/4AWRldj2pUEP8L61OP1cG2jIuq8.jpg,"[28, 16, 10770, 878]",17074,en,The Batman Superman Movie: World's Finest,"As the Joker visits Metropolis with a plan to kill Superman for Lex Luthor, Batman pursues the clown to Superman's turf.",15.556,/dQxwNGQ6pQLCUE5vaI9PwIZK6UC.jpg,1997-10-04,The Batman Superman Movie: World's Finest,False,7.2,185
False,/pHE7QBIm7LqDeMiNC3BWdfPJxwr.jpg,[53],10155,en,U Turn,"When Bobby's car breaks down in the desert while on the run from some of the bookies who have already taken two of his fingers, he becomes trapped in the nearby small town where the people are stranger than anyone he's encountered. After becoming involved with a young married woman, her husband hires Bobby to kill her. Later, she hires Bobby to kill the husband.",15.229,/lffvjJU8j7RLfz1SJVMfrn2wH6i.jpg,1997-10-03,U Turn,False,6.6,536
False,/hV7a79BshzHTBUK5QJiqV9gzjq1.jpg,"[80, 18, 53]",9407,en,Red Corner,"An American attorney on business in China, ends up wrongfully on trial for murder and his only key to innocence is a female defense lawyer from the country.",15.211,/xsIbKOO1CacqTagyJmEGGf4kOnn.jpg,1997-10-30,Red Corner,False,6.2,265
False,/y7fsDAazaQudZHMrTTegPjWdFT.jpg,"[28, 12, 35]",11676,en,Nothing to Lose,"Advertising executive Nick Beame learns that his wife is sleeping with his employer. In a state of despair, he encounters a bumbling thief whose attempted carjacking goes awry when Nick takes him on an involuntary joyride. Soon the betrayed businessman and the incompetent crook strike up a partnership and develop a robbery-revenge scheme. But it turns out that some other criminals in the area don't appreciate the competition.",15.209,/5al8I28ufKJDxGWDcNGw6xCkZHH.jpg,1997-07-18,Nothing to Lose,False,6.4,453
False,/e86x1nXqfXRlqATuy60MmzFUFQr.jpg,"[80, 18, 9648, 53]",2163,en,Breakdown,"When his SUV breaks down on a remote Southwestern road, Jeff Taylor lets his wife, Amy, hitch a ride with a trucker to get help. When she doesn't return, Jeff fixes his SUV and tracks down the trucker -- who tells the police he's never seen Amy. Johnathan Mostow's tense thriller then follows Jeff's desperate search for his wife, which eventually uncovers a small town's murderous secret.",14.884,/h6POHvMnoqBVpAFQXCMBoTjru9.jpg,1997-05-02,Breakdown,False,6.8,647
False,/6ohQykatk9yGS47m1OSXqwYhB0U.jpg,"[27, 878]",10351,en,Wishmaster,"The Djinn having been released from his ancient prison seeks to capture the soul of the woman who discovered him, thereby opening a portal and freeing his fellow Djinn to take over the earth.",14.863,/t7rep7SCqiy4COUsq2cOcdQwzU0.jpg,1997-09-19,Wishmaster,False,5.9,419
False,/s5svcTbGcdTkA3cj7pCfy1rxy2O.jpg,"[35, 10749]",8874,en,My Best Friend's Wedding,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",14.722,/cKzFsv5NdYyKWhrmwsnBGe4cdFe.jpg,1997-06-19,My Best Friend's Wedding,False,6.6,2103
False,/ogsgeorX3lXULayGMHLsTzL5j6.jpg,"[12, 35, 10751, 878, 28]",11425,en,"Honey, We Shrunk Ourselves","The joke's on absent-minded scientist Wayne Szalinski when his troublesome invention shrinks him, his brother and their wives so effectively that their children think they've completely disappeared. Of course, this gives the kids free rein to do anything they want, unaware that their parents are watching every move.",14.678,/wK8p7WjKw3z6nQQh9ptlMGn35DZ.jpg,1997-03-18,"Honey, We Shrunk Ourselves",False,5.4,527
False,/llOhjFfc0rfHpKDIB0AuOVrjJ6.jpg,"[28, 53]",14289,en,Fire Down Below,"When an EPA representative is murdered in a small Appalachian community, EPA undercover agent Jack Taggart is sent in—posing as a handyman working with a Christian relief agency—to determine what happened.",14.67,/nflONy2WMEui7uCGCAtkD1r9vnl.jpg,1997-09-05,Fire Down Below,False,5.7,274
False,/atxSD5UwoVGtIitOyNfQ6ry8q4u.jpg,"[18, 53]",6072,en,One Eight Seven,"After surviving a stabbing by a student, teacher Trevor Garfield moves from New York to Los Angeles. There, he resumes teaching as a substitute teacher. The education system, where violent bullies control the classrooms and the administration is afraid of lawsuits, slowly drives Garfield mad.",14.67,/rPmmyspi1MZBItSvfx40qwep8ow.jpg,1997-07-29,One Eight Seven,False,6.6,446
False,/bgV0xkcQ2oODvfw0dtCbSsfpPrq.jpg,"[28, 80, 18]",2142,en,Cop Land,"Freddy Heflin is the sheriff of a place everyone calls “Cop Land” — a small and seemingly peaceful town populated by the big city police officers he’s long admired. Yet something ugly is taking place behind the town’s peaceful facade. And when Freddy uncovers a massive, deadly conspiracy among these local residents, he is forced to take action and make a dangerous choice between protecting his idols and upholding the law.",14.484,/qzR7m6kUhsbdid3xRK2jTXjyNmG.jpg,1997-08-15,Cop Land,False,6.8,1132
False,/zv8rOS34kPMe4YLfOtRzcjTJAoI.jpg,"[35, 10751, 878]",9574,en,Flubber,"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",14.407,/bnKvk04icAyCO1KjqhsaEXBO9aJ.jpg,1997-11-26,Flubber,False,5.6,1923
False,/Bfsoyo6mai2KKhdL5tk85RIB8F.jpg,"[80, 53, 18]",4477,en,The Devil's Own,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",14.189,/7XIxdjhaoDIiv7slEiOhBEzMtqu.jpg,1997-03-13,The Devil's Own,False,6.1,920
False,/v0IeACcCsKLKqT4eCJsZ60nySQL.jpg,"[18, 80, 53]",11975,en,The Rainmaker,"When Rudy Baylor, a young attorney with no clients, goes to work for a seedy ambulance chaser, he wants to help the parents of a terminally ill boy in their suit against an insurance company. But to take on corporate America, Rudy and a scrappy paralegal must open their own law firm.",14.093,/7A382nJnnS1YFqt19pWy8IDAqhI.jpg,1997-11-18,The Rainmaker,False,7,912
False,/aUeJCT6sZNLo3QoMtF7cnWvbebe.jpg,"[53, 10749, 18]",18222,en,Poison Ivy: The New Seduction,A sinister seductress vows to destroy a suburban family.,14.057,/hyQNEGGU2FSKehEbcJdIG0k1JdQ.jpg,1997-10-20,Poison Ivy: The New Seduction,False,4.8,69
