,ecole,longitude,latitude,postalcode
310,ENSGTI Pau-Génie des Procédés,-0.3644096000000001,43.3194063,64000
311,Concours Commun Polytechnique MP,2.2112917,48.7142971,91120
312,ENGEES Strasbourg MP,7.758007800000001,48.5849696,67070
313,ENSAI Rennes Civil,-1.7417817,48.05062059999999,35170
314,ENSAI Rennes Fonctionnaire (Attaché INSEE),-1.7417817,48.05062059999999,35170
315,ENSISA Mulhouse MP,7.310896100000001,47.7290842,68093
316,concours Télécom SudParis MP,2.4433504,48.6249477,91000
317,Informatique-Polytech Paris-Sud,2.1712321,48.70902239999999,91190
318,"Informatique, Modélisation mathématique, Gestion-Polytech Montpellier",3.8625953,43.6327433,34095
319,Matériaux-Polytech Montpellier,3.8625953,43.6327433,34095
320,ESCOM Compiegne,2.8024088,49.4019571,60200
321,ESPCI ParisTech Etranger,2.3475905,48.8412746,75005
322,ENS Cachan PC,2.1649417,48.7123564,91190
323,Concours Commun Mines Ponts PC,,,
324,Concours Commun Polytechnique PC-Physique,2.2112917,48.7142971,91120
325,ENSCBP Bordeaux-Chimie-Physique,-0.6111213,44.8011924,33607
326,ENSICAEN Mat. et Chimie,-0.367627,49.214099,14000
327,ENSC Clermont-Ferrand,3.1104272,45.7590113,63178
328,CPE LYON Chimie,4.8697515,45.7841601,69100
329,ENSC Mulhouse,7.3127021,47.7324409,68200
330,ENSC Rennes,-1.633959,48.117732,35708
331,ECPM Strasbourg,7.7158292,48.607586,67200
332,ENSIACET Toulouse Génie chimique,1.5010751,43.5548178,31030
333,ENSIACET Toulouse Matériaux,1.5010751,43.5548178,31030
334,ENSIACET Toulouse Chimie,1.5010751,43.5548178,31030
335,Concours Commun Polytechnique PC-Chimie,2.2112917,48.7142971,91120
336,ENGEES Strasbourg PC,7.758007800000001,48.5849696,67070
337,ENSISA Mulhouse PC,7.310896100000001,47.7290842,68093
338,concours Télécom SudParis PC,2.4433504,48.6249477,91000
339,Matériaux-Polytech Paris-Sud,2.1712321,48.70902239999999,91190
340,Matériaux-Polytech Paris-UPMC,2.3577864,48.8462524,75005
341,Cycle International Centrale-Supelec,2.1661629,48.709445,91190
342,ENSEIRB-MATMECA Bordeaux Mathématiques et Mécanique,-0.6051667,44.80663759999999,33400
343,ENSEM Nancy Pluriscientifique,6.1473745,48.6518424,54500
344,ENSEM Nancy Ingénierie des systèmes numériques,6.1473745,48.6518424,54500
345,ISAE-ENSMA Poitiers,0.3613693,46.66132520000001,86360
346,TELECOM PHYSIQUE Strasbourg,7.7377182,48.5254976,67400
347,ENSISA Mulhouse Automatique et Systèmes,7.310896100000001,47.7290842,68093
348,Mines de Douai Fonct.,3.0676659,50.3755213,59500
349,TELECOM Lille 1,3.1347239,50.6114415,59650
350,TELECOM PHYSIQUE Strasbourg-TIC et Santé,7.7377182,48.5254976,67400
351,ENSTA Bretagne Civil,-4.4720707,48.41908,29200
352,ENSTA Bretagne Militaire,-4.4720707,48.41908,29200
353,ENSTA Bretagne Civil Voie du Concours Mines Ponts,-4.4720707,48.41908,29200
354,"Aménagement, Eau et Environnement-Polytech Tours",0.6847464999999999,47.3646921,37200
355,"Automatique, Robotique, Systèmes industriels-Polytech Lyon",4.8683428,45.7791677,69100
356,"Energie électrique, Systèmes électroniques, informatiques et optiques-Polytech Paris-UPMC",2.3577864,48.8462524,75005
357,"Génie biologique, Agroalimentaire, Biotechnologie-Polytech Nantes",-1.5158639,47.2819356,44300
358,"Génie Civil, Bâtiment, Géosciences-Polytech Nantes",-1.5158639,47.2819356,44300
359,Informatique-Polytech Lyon,4.8683428,45.7791677,69100
360,Informatique-Polytech Marseille,5.4431033,43.23194669999999,13009
361,"Ingénierie pour la santé, Génie biomédical-Polytech Lyon",4.8683428,45.7791677,69100
362,"Ingénierie pour la santé, Génie biomédical-Polytech Marseille",5.4431033,43.23194669999999,13009
363,ISAT Nevers-département MIT (Mécanique et Ingénierie des Transports),3.1714703,46.997819,58027
364,ISAT Nevers-département EPEE (Energies et Moteurs),3.1714703,46.997819,58027
365,Matériaux-Polytech Marseille,5.4431033,43.23194669999999,13009
366,"Mathématiques appliquées, Modélisation-Polytech Lyon",4.8683428,45.7791677,69100
367,Mécanique-Polytech Lyon,4.8683428,45.7791677,69100
368,"Mécanique, Énergie, Matériaux, Mécatronique-Polytech Marseille",5.4431033,43.23194669999999,13009
369,IPSA Paris,2.3938746,48.8139882,94200
370,IPSA Toulouse,1.4289435,43.6123111,31000
371,EPITA / IPSA PSI,2.3628171,48.81566540000001,94270
372,"Concours ENS Cachan MP (options MP/MP, MP/MPI)",2.1649417,48.7123564,91190
373,Concours ENS Cachan Informatique,2.1649417,48.7123564,91190
374,EPITA / IPSA MP,2.3628171,48.81566540000001,94270
375,Matériaux-Polytech Lyon,4.8683428,45.7791677,69100
376,EPITA / IPSA PC,2.3628171,48.81566540000001,94270
377,Concours Commun des Ecoles des Mines,2.339138,48.8455886,75272
378,EPITA / IPSA PT,2.3628171,48.81566540000001,94270
379,EIL Côte d'Opale (ex EIPC) TSI,1.880568,50.9525945,62100
380,EPITA / IPSA TSI,2.3628171,48.81566540000001,94270
381,Bordeaux Sciences Agro (ex ENITAB),-0.6063803,44.7931179,33170
382,VetAgro Sup Clermont-Ferrand,3.1762589,45.7758304,63370
383,concours Polytech G2E-BCPST,,,
384,ENSEGID,-0.6079880999999999,44.8048063,33600
385,"Génie biologique, Agroalimentaire, Biotechnologies-Polytech Marseille",5.4431033,43.23194669999999,13009
386,ENS de Lyon MPI,4.8334497,45.7332787,69342
387,ENS de Lyon Info.,4.8334497,45.7332787,69342
388,CENTRALE PARIS-étr.,2.3051306,48.8372299,75015
389,SUPELEC,2.1661629,48.709445,91190
390,SUPELEC-étr.,2.1661629,48.709445,91190
391,Institut d'optique Graduate School (SupOptique)-étr.,2.2034927,48.71373999999999,91120
392,CENTRALE PARIS-CI,2.1661629,48.709445,91190
393,SUPELEC-CI,2.1661629,48.709445,91190
394,CENTRALE LYON-CI,4.766499899999999,45.7825983,69134
395,CENTRALE LILLE-CI,3.1365135,50.6068158,59650
396,CENTRALE NANTES-CI,-1.5495565,47.24833839999999,44300
397,Institut d'optique Graduate School (SupOptique)-CI,2.2034927,48.71373999999999,91120
398,CENTRALE MARSEILLE-CI,5.4371117,43.3424593,13013
399,ENSI Bourges Risques Industriels (MRI),2.398782,47.081012,18000
400,ENSI Bourges Informatique (STI),2.398782,47.081012,18000
401,ENSEEIHT Toulouse Electronique et Traitement du Signal,1.455808,43.6021194,31000
402,ENSEEIHT Toulouse Génie Electrique et Automatique,1.455808,43.6021194,31000
403,ENSEEIHT Toulouse Hydraulique et Mécanique des Fluides,1.455808,43.6021194,31000
404,TELECOM Nancy,6.155318,48.6691262,54602
405,Arts et Métiers-ingénieurs militaires,2.3582236,48.8330427,75013
406,ESTP Paris Génie Mécanique et Electrique (GME),2.3522219,48.856614,75004
407,ESI Reims,4.0645583,49.2377566,51100
408,ESIROI Saint Denis de la Réunion,55.49073199999999,-21.3403709,97410
409,ISTY Vélizy UVSQ,2.2176517,48.7820684,78140
410,"Polytech Annecy-Chambéry-Environnement, Bâtiment, Énergie",6.1577674,45.91949779999999,74940
411,"Polytech Annecy-Chambéry-Instrumentation, Automatique, Informatique",6.1577674,45.91949779999999,74940
412,"Polytech Annecy-Chambéry-Mécanique, Matériaux",6.1577674,45.91949779999999,74940
413,Polytech Clermont-Ferrand-Génie Civil,3.1092253,45.7608031,63100
414,Polytech Clermont-Ferrand-Génie Electrique,3.1092253,45.7608031,63100
415,Polytech Clermont-Ferrand-Génie Mathématique et Modélisation,3.1092253,45.7608031,63100
416,Polytech Clermont-Ferrand-Génie Physique,3.1092253,45.7608031,63100
417,Polytech Grenoble-Géotechnique,5.752253,45.1846156,38400
418,Polytech Grenoble-Matériaux,5.752253,45.1846156,38400
419,Polytech Grenoble-Prévention des risques,5.752253,45.1846156,38400
420,"Polytech Grenoble-Systèmes électroniques et informatiques, Réseaux",5.752253,45.1846156,38400
421,Polytech Grenoble-Technologies de l'information pour la santé,5.752253,45.1846156,38400
422,Polytech Lille-Génie Informatique et statistique,3.1370078,50.6078394,59655
423,"Polytech Lille-Géotechnique, Génie civil",3.1370078,50.6078394,59655
424,"Polytech Lille-Informatique, Microélectronique, Automatique",3.1370078,50.6078394,59655
425,Polytech Lille-Ingénierie et commercialisation des systèmes de mesure,3.1370078,50.6078394,59655
426,Polytech Lille-Matériaux,3.1370078,50.6078394,59655
427,Polytech Lille-Mécanique,3.1370078,50.6078394,59655
428,Polytech Lyon-Génie Bomédical,4.8683428,45.7791677,69100
429,Polytech Lyon-Informatique,4.8683428,45.7791677,69100
430,Polytech Lyon-Mathématiques Appliquées et Modélisation,4.8683428,45.7791677,69100
431,Polytech Marseille-Génie Biomédical,5.4431033,43.23194669999999,13009
432,Polytech Marseille-Génie Civil,5.4431033,43.23194669999999,13009
433,Polytech Marseille-Génie Industriel et Informatique,5.4431033,43.23194669999999,13009
434,Polytech Marseille-Informatique,5.4431033,43.23194669999999,13009
435,Polytech Marseille-Matériaux,5.4431033,43.23194669999999,13009
436,"Polytech Marseille-Mécanique, Energétique",5.436671599999999,43.3452971,13013
437,"Polytech Marseille-Microélectronique,Télécommunications",5.4431033,43.23194669999999,13009
438,"Polytech Montpellier-Électronique, Robotique et Informatique industrielle",3.8625953,43.6327433,34095
439,"Polytech Montpellier-Énergétique, Énergies renouvelables",3.8625953,43.6327433,34095
440,Polytech Montpellier-Informatique et Gestion,3.8625953,43.6327433,34095
441,Polytech Montpellier-Matériaux,3.8625953,43.6327433,34095
442,Polytech Nantes-Électronique et technologies numériques,-1.5158639,47.2819356,44300
443,Polytech Nantes-Énergie électrique,-1.5158639,47.2819356,44300
444,Polytech Nantes-Génie civil,-1.5158639,47.2819356,44300
445,Polytech Nantes-Informatique,-1.5158639,47.2819356,44300
446,Polytech Nantes-Matériaux,-1.5158639,47.2819356,44300
447,"Polytech Nantes-Thermique, Énergétique",-1.5158639,47.2819356,44300
448,Polytech Nice-Sophia-Bâtiments,7.0717782,43.6155521,06410
449,Polytech Nice-Sophia-Électronique,7.0717782,43.6155521,06410
450,Polytech Nice-Sophia-Génie de l'eau,7.0717782,43.6155521,06410
451,Polytech Nice-Sophia-Informatique,7.0717782,43.6155521,06410
452,"Polytech Nice-Sophia-Mathématiques appliquées, Modélisation",7.0717782,43.6155521,06410
453,Polytech Orléans-Écotechnologie électroniques et optiques,1.9390229,47.8440593,45100
454,Polytech Orléans-Génie civil et géo-environnement,1.9390229,47.8440593,45100
455,"Polytech Orléans-Mécanique, Énergétique, Matériaux, Mécatronique",1.9390229,47.8440593,45100
456,"Polytech Paris-Sud-Electronique, Energie, Systèmes",2.1712321,48.70902239999999,91190
457,Polytech Paris-Sud-Informatique,2.1712321,48.70902239999999,91190
458,Polytech Paris-Sud-Photonique et systèmes optroniques,2.1712321,48.70902239999999,91190
459,Polytech Paris-UPMC-Electronique et Informatique,2.3577864,48.8462524,75005
460,Polytech Paris-UPMC-Robotique,2.3577864,48.8462524,75005
461,Polytech Paris-UPMC-Sciences de la Terre,2.3577864,48.8462524,75005
462,Polytech Tours-Aménagement,0.6804406,47.367025,37200
463,"Polytech Tours-Électronique, Énergie électrique",0.6877878,47.3645904,37200
464,Polytech Tours-Informatique,0.6877878,47.3645904,37200
465,"Polytech Tours-Mécanique, Conception de systèmes",0.6877878,47.3645904,37200
466,Concours POLYTECH,2.3577864,48.8462524,75005
467,EIGSI Casablanca,-7.6307559,33.5575162,20035
468,EIGSI La Rochelle,-1.1544972,46.1397264,17041
469,EIL Côte d'Opale Longuenesse-Calais,1.880568,50.9525945,62100
470,EPF campus TROYES,2.3272555,48.7889071,94230
471,EPF campus MONTPELLIER,3.871645,43.6004614,34000
472,EPF campus SCEAUX,2.3272555,48.7889071,94230
473,EPF Sceaux-Troyes-Montpellier,2.3272555,48.7889071,94230
474,ESIGETEL Villejuif,2.3640636,48.7885773,94800
475,ESILV Paris-La Défense,2.2356593,48.8960876,92400
476,ESME SUDRIA Paris,2.3929998,48.8140771,94200
477,EPMI Cergy-Pontoise,2.0750699,49.0316204,95000
478,ESAIP Angers-Grasse,-0.4973334,47.464054,49124
479,Polytech Lyon-Mécanique,4.8683428,45.7791677,69100
480,"Polytech Lyon-Systèmes industriels, Robotique",4.8683428,45.7791677,69100
481,Polytech Montpellier-Mécanique et Interactions,3.8625953,43.6327433,34095
482,Polytech Nantes-Génie des Procédés et Bioprocédés,-1.5158639,47.2819356,44300
483,Polytech Lyon-Matériaux,4.8683428,45.7791677,69100
484,ENS de Lyon,4.8334497,45.7332787,69342
485,ESIAB Brest,-4.567904,48.3604503,29280
486,Polytech Clermont-Ferrand-Génie Biologique,3.1092253,45.7608031,63100
487,Polytech Lille-Génie biologique et alimentaire,3.1370078,50.6078394,59655
488,Polytech Montpellier-Sciences et technologies de l'eau,3.8625953,43.6327433,34095
489,Polytech Montpellier-Sciences et technologies des Industries alimentaires,3.8625953,43.6327433,34095
490,Polytech Nice-Sophia-Génie biologique,7.0717782,43.6155521,06410
491,Polytech Paris-Sud-Matériaux,2.1712321,48.70902239999999,91190
492,Polytech Paris-UPMC-Matériaux,2.3577864,48.8462524,75005
493,ONIRIS Nantes Atlantique (cursus agroalimentaire),-1.5227746,47.2891843,44300
494,ONIRIS Nantes Atlantique (cursus vétérinaire),-1.5227746,47.2891843,44300
495,Polytech Paris-UPMC-Agroalimentaire,2.3577864,48.8462524,75005
496,"Polytech Marseille-Génie Biologique, Biotechnologie",5.4431033,43.23194669999999,13009
497,Concours POLYTECH A BIO,2.2112917,48.7142971,91120
498,ENS Rennes MP,-1.7456349,48.04588440000001,35170
499,ENS Rennes Info.,-1.7456349,48.04588440000001,35170
500,TELECOM BRETAGNE cursus Brest-Rennes-Toulouse,2.2003541,48.712841,91120
501,TELECOM BRETAGNE cursus Sophia,2.4433504,48.6249477,91000
502,EISTI Cergy-Pau Génie Informatique,2.0697464,49.0350546,95000
503,EISTI Cergy-Pau Génie Mathématiques,2.0697464,49.0350546,95000
504,SeaTech Toulon,6.0117444,43.1362623,83130
505,ENAC Montpellier Civil,3.952351199999999,43.5794201,34130
506,ENTPE Lyon Civil,4.9223494,45.77860829999999,69120
507,ENTPE Lyon Fonctionnaire,4.9223494,45.77860829999999,69120
508,ENTPE Lyon Etranger,4.9223494,45.77860829999999,69120
509,ESIR Rennes,-1.6364057,48.118086,35042
510,ESIREM Dijon,5.073972299999999,47.3121732,21000
511,ESIX Normandie,-1.6442149,49.6343438,50130
512,ISBS Créteil,2.4539208,48.7951184,94000
513,ISEL Le Havre,0.1261262,49.4898336,76600
514,ISTY Vélizy,2.2176517,48.7820684,78140
515,Polytech Montpellier-Électronique et Informatique industrielle,3.8625953,43.6327433,34095
516,ESIEA Paris / Laval,2.3784328,48.81446889999999,94200
517,ESTACA Laval,-0.7579395,48.0876319,53000
518,ESTACA Levallois-Perret,2.041424,48.787661,78180
519,ESTACA Levallois-Perret/Laval,-0.7579395,48.0876319,53000
520,INSA centre val de loire,1.3256882,47.5845012,41000
521,ENS Rennes,-1.7456349,48.04588440000001,35170
522,ENAC Toulouse Territorial,1.4830052,43.5642909,31400
523,ISTIA Angers,-0.592078,47.48052490000001,49000
524,ECPM Strasbourg-CHEMBIOTECH (ECPM-ESBS),7.7158292,48.607586,67200
525,CENTRALE CASABLANCA,-7.6204414,33.4800758,27182
526,Bordeaux INP-ENSEIRB-MATMECA Electronique,-0.6052137,44.805645,33400
527,Bordeaux INP-ENSEIRB-MATMECA Informatique,-0.6052137,44.805645,33400
528,Bordeaux INP-ENSEIRB-MATMECA Mathématiques et Mécanique,-0.6052137,44.805645,33400
529,Bordeaux INP-ENSEIRB-MATMECA Télecom.,-0.6052137,44.805645,33400
530,CPE LYON Electronique Informatique,4.8697515,45.7841601,69100
531,ENSEM Nancy Energie,6.1473745,48.6518424,54500
532,ENSEM Nancy Spécialité des systèmes numériques,6.1473745,48.6518424,54500
533,INP-ENSEEIHT Toulouse Electronique et Traitement du Signal,1.455808,43.6021194,31000
534,INP-ENSEEIHT Toulouse Génie Electrique et Automatique,1.455808,43.6021194,31000
535,INP-ENSEEIHT Toulouse Hydraulique et Mécanique des Fluides,1.455808,43.6021194,31000
536,INP-ENSEEIHT Toulouse Informatique et Mathématiques appliquées,1.455808,43.6021194,31000
537,INP-ENSEEIHT Toulouse Télécom.réseaux,1.455808,43.6021194,31000
538,INP-ENSIACET Toulouse Génie des Procédés,1.5010751,43.5548178,31030
539,INP-ENSIACET Toulouse Génie Industriel,1.5010751,43.5548178,31030
540,ENSG-Géomatique Marne la Vallée Civil,2.5879613,48.8410851,77420
541,TELECOM PHYSIQUE Strasbourg-Réseaux et Télécom,7.7377182,48.5254976,67400
542,Arts et Métiers,2.3582236,48.8330427,75013
543,Polytech Orléans-Génie industriel,1.9390229,47.8440593,45100
544,Polytech Orléans-Innovation en Conception et Matériaux,1.9390229,47.8440593,45100
545,"Polytech Orléans-Technologies pour l'Énergie, l'Aérospatial et la Motorisation",1.9390229,47.8440593,45100
546,Polytech Paris-UPMC Informatique et mathématiques appliquées,2.3577864,48.8462524,75005
547,Polytech Tours-aménagement et environnement,0.6804406,47.367025,37200
548,ENSAIT Roubaix-Formation en alternance,3.1682748,50.6944887,59100
549,ESTACA Paris-Saclay,2.041424,48.787661,78180
550,ESTACA Paris-Saclay/Laval,2.041424,48.787661,78180
551,INP-ENI Tarbes,0.0512515999999999,43.2249893,65000
552,INSA centre val de loire STI,1.3256882,47.5845012,41000
553,INSA centre val de loire GSI,1.3256882,47.5845012,41000
554,INSA centre val de loire MRI,1.3256882,47.5845012,41000
555,INSA Centre Val de Loire,1.3256882,47.5845012,41000
556,Mines Douai-ISPA Alençon,0.0587716999999999,48.4442826,61250
557,ECAM Rennes,-1.7430977,48.04685850000001,35170
558,ECAM-EPMI Cergy-Pontoise,2.0750699,49.0316204,95000
559,CENTRALE CASABLANCA-CI,-7.6204414,33.4800758,27182
560,Bordeaux INP-ENSCBP Chimie-Physique,-0.6111213,44.8011924,33607
561,INP-ENSIACET Toulouse Génie chimique,1.5010751,43.5548178,31030
562,INP-ENSIACET Toulouse Matériaux,1.5010751,43.5548178,31030
563,INP-ENSIACET Toulouse Chimie,1.5010751,43.5548178,31030
564,Bordeaux Sciences Agro,-0.6063803,44.7931179,33170
565,Bordeaux INP-ENSCBP Biologie-Alimentation,-0.6111213,44.8011924,33607
566,concours des écoles des Mines G2E-BCPST,,,
567,ENSG-Géomatique Marne la Vallée Fonctionnaire,2.5879613,48.8410851,77420
568,concours ENSG Marne La vallée G2E-BCPST,2.5879613,48.8410851,77420
569,ARTS ET MÉTIERS,2.3582236,48.8330427,75013
570,ECOLE SUPERIEURE D'OPTIQUE,2.2034927,48.71373999999999,91120
571,EGIM Marseille,5.4371117,43.3424593,13013
572,I.I.E. CNAM,2.35576,48.866558,75003
573,Télécom INT,2.4433504,48.6249477,91000
574,EIC Cherbourg,-1.6442149,49.6343438,50130
575,MINES Paris,2.339138,48.8455886,75272
576,MINES Nancy,6.1702775,48.6729956,54042
577,MINES St Etienne,4.408427,45.4225457,42100
578,Ponts et Chaussées,2.588727,48.840563,77420
579,Techniques avancées,2.2180501,48.7107339,91120
580,ENST Cursus Paris,2.3360291,48.8662962,75001
581,ENST Bretagne,2.2003541,48.712841,91120
582,ENST Sophia Antipolis,7.041091700000001,43.6271655,06560
583,Concours Commun Mines Ponts,2.3358177,48.8304214,75014
584,ENSAM,2.3582236,48.8330427,75013
585,Concours Commun ENSAM,2.3582236,48.8330427,75013
586,ENSEIR Bordeaux Electronique,-0.6051667,44.80663759999999,33400
587,ENSEIR Bordeaux Informatique,-0.6051667,44.80663759999999,33400
588,ENSEIR Bordeaux Télecom.,-0.6051667,44.80663759999999,33400
589,ENSIETA Brest Civil,-4.4720707,48.41908,29200
590,ENSICAEN Electronique,-0.367627,49.214099,14000
591,INP Grenoble-EFPG,5.7757511,45.1960652,38402
592,INP Grenoble-ENSEEG,5.771042599999999,45.1956426,38610
593,INP Grenoble-ENSIEG,5.717421499999999,45.190758,38000
594,ENSICA Toulouse,1.4664576,43.6146488,31500
595,ENSIAME Valenciennes Info Autom.,3.5147174,50.3248476,59300
596,ENSTIM Albi,-77.00032759999999,38.8739354,20003
597,ENSTIM Alès,4.083352,44.127204,30100
598,"ENSTIM Albi, Alès, Douai, Nantes",-1.553621,47.218371,44000
599,ENSI Bourges,2.398782,47.081012,18000
600,ENSIETA Brest Militaire,-4.4720707,48.41908,29200
601,CUST Clermont-Ferrand MPE,3.1092253,45.7608031,63100
602,ENSTIM Douai,3.0676659,50.3755213,59500
603,POLYTECH Lille G.I.S,3.1370078,50.6078394,59655
604,POLYTECH Lille I.M.A,3.1370078,50.6078394,59655
605,Réseau Polytech,2.3577864,48.8462524,75005
606,ISMEA Gardanne,5.4717363,43.4525982,13120
607,POLYTECH Grenoble Géot.,5.752253,45.1846156,38400
608,POLYTECH Grenoble PRIHSE,5.752253,45.1846156,38400
609,POLYTECH Grenoble SciGMa,5.752253,45.1846156,38400
610,POLYTECH Grenoble 3I,5.752253,45.1846156,38400
611,POLYTECH Marseille Génie Civil,5.4431033,43.23194669999999,13009
612,POLYTECH Marseille GII,5.411790799999999,43.3386542,13013
613,POLYTECH Marseille M.E.,5.4431033,43.23194669999999,13009
614,POLYTECH Marseille M. Télec.,5.4431033,43.23194669999999,13009
615,POLYTECH Montpellier Micro.,3.8625953,43.6327433,34095
616,ESSAIM Mulhouse,7.310896100000001,47.7290842,68093
617,ENSIT Mulhouse Mécanique et systèmes,7.310896100000001,47.7290842,68093
618,ENSIT Mulhouse Textile et Habillement,7.308810199999999,47.7302762,68200
619,ENSIT Mulhouse TSI,7.310896100000001,47.7290842,68093
620,ENSTIM Nantes,-1.5208446,47.2822842,44300
621,POLYTECH Nantes GE,-1.5158639,47.2819356,44300
622,POLYTECH Nantes MAT,-1.5158639,47.2819356,44300
623,POLYTECH Nantes SEII,-1.5158639,47.2819356,44300
624,POLYTECH Nantes TE,-1.5158639,47.2819356,44300
625,POLYTECH' Nice-Sophia-Electronique,7.0717782,43.6155521,06410
626,POLYTECH Orléans,1.9390229,47.8440593,45100
627,ESTP Paris GEOMETRES,2.3498281,48.8268365,75013
628,POLYTECH Tours Product.,0.6847464999999999,47.3646921,37200
629,POLYTECH Tours Info.,0.6847464999999999,47.3646921,37200
630,ECOLE POLYTECHNIQUE Info. etranger,2.2112917,48.7142971,91120
631,ECOLE POLYTECHNIQUE P&SI etranger,2.2112917,48.7142971,91120
632,SUPAERO Toulouse,1.474008,43.5655361,31400
633,INP Grenoble-ENSERG,5.717421499999999,45.190758,38031
634,INP Grenoble-ENSHMG,5.768265899999999,45.1934574,38400
635,INP Grenoble-ENSIMAG,5.768265899999999,45.1934574,38400
636,INP Grenoble-ENSPG,5.717421499999999,45.190758,38031
637,INP Grenoble-TELECOM,5.7175052,45.1908463,38000
638,ENSC Paris,2.3435537,48.84421,75005
639,ENSGTI Pau,-0.3644096000000001,43.3194063,64000
640,ENSEEIHT Toulouse Informatique,1.455808,43.6021194,31000
641,ESM Saint-Cyr (*),-2.1498977,47.94579,56380
642,INP Grenoble-ENSGI,5.7175052,45.1908463,38000
643,ENSIT Mulhouse MP,7.310896100000001,47.7290842,68093
644,ENSAI Rennes Fonctionnaire,-1.7417817,48.05062059999999,35170
645,ENGEES Strasbourg Civil,7.758007800000001,48.5849696,67070
646,ECOLE METEOROLOGIE,1.3776632,43.5739021,31100
647,ESIEE-ISMEA MP,,,
648,MATMECA Bordeaux,-0.6051667,44.80663759999999,33400
649,"Ecoles des Mines d'Albi, Alès, Douai, Nantes",3.0676659,50.3755213,59500
650,ENSAE Statistique Malakoff,2.3024523,48.8243738,92240
651,Concours ESTP,,,
652,EPUPMC Paris 6 Elec. Info,2.3545973,48.8467451,75005
653,EPUPMC Paris 6 Sci.Terre,2.357499,48.8471036,75005
654,EPUPMC Paris 6,2.357499,48.8471036,75005
655,ESIA Annecy,6.1577674,45.91949779999999,74940
656,ESIEC Reims,4.0645583,49.2377566,51100
657,ESIGEC Chambéry GE,1.0768848,49.3832749,76800
658,ESIGEC Chambéry IB,5.917781,45.564601,73000
659,ESIGEC Chambéry MC,5.917781,45.564601,73000
660,ESIGEC Chambéry,1.0768848,49.3832749,76800
661,ESIL Internet,,,
662,ESIL Marseille Informatique,5.4431891,43.2322616,13288
663,ESIP Poitiers Eau et Environnement,0.3832459,46.5688039,86022
664,ESIP Poitiers Eclairage-Acoustique-Climatisation,0.3832459,46.5688039,86022
665,ESIP Poitiers Energétique,0.3832459,46.5688039,86022
666,ESIP Poitiers Génie Civil,0.3832459,46.5688039,86022
667,ESIP Poitiers Génie Electrique et Automatique,0.3832459,46.5688039,86022
668,ESIP Poitiers,0.3832459,46.5688039,86022
669,IDC Bordeaux,-0.5975148,44.8062267,33400
670,IFIPS Paris 11 Orsay,2.3802733,48.8578078,75011
671,IFSIC Rennes,-1.673112,48.11574599999999,35000
672,ISITV Toulon ICS,5.9402523,43.1211108,83000
673,ISITV Toulon IMAR,6.0117444,43.1362623,83130
674,ISITV Toulon IMATER,5.935657793670618,43.124633925175466,83000
675,ISITV Toulon ITEL,5.93914,43.120563,83000
676,ISPG Paris 13 Villetaneuse,2.341461,48.95620900000001,93430
677,ISTASE St Etienne,4.4244562,45.4238076,42000
678,ISTIL Lyon,4.8683428,45.7791677,69100
679,CUST Clermont-Ferrand Génie Civil,3.1092253,45.7608031,63100
680,POLYTECH Grenoble RICM,5.752253,45.1846156,38400
681,POLYTECH Grenoble TIS,5.752253,45.1846156,38400
682,POLYTECH Lille G.GC.,3.1370078,50.6078394,59655
683,POLYTECH Lille I.S,3.1370078,50.6078394,59655
684,POLYTECH Lille Méca.,3.1370078,50.6078394,59655
685,POLYTECH Lille Sc. Mat.,3.1370078,50.6078394,59655
686,POLYTECH Montpellier Infor.,3.8625953,43.6327433,34095
687,POLYTECH Montpellier Matér.,3.8625953,43.6327433,34095
688,POLYTECH Nantes INFO,-1.5158639,47.2819356,44300
689,POLYTECH' Nice-Sophia-Math. App. et Modélisation,7.0717782,43.6155521,06410
690,POLYTECH' Nice-Sophia-Sciences Informatiques,7.0717782,43.6155521,06410
691,POLYTECH Tours Aménag.,0.6847464999999999,47.3646921,37200
692,"Réseau POLYTECH (CUST, Polytech')",2.3577864,48.8462524,75005
693,EIPC Longuenesse,2.2604769,50.7344417,62219
694,EIPI-ISPA Alençon,0.0587716999999999,48.4442826,61250
695,EISTI Cergy,2.0697464,49.0350546,95000
696,EISTI Pau,-0.3500523,43.3054634,64000
697,concours EISTI Cergy MP,2.0697464,49.0350546,95000
698,concours ESIEA Paris-Laval MP,2.3784328,48.81446889999999,94200
699,ESME-Sudria Paris,2.3929998,48.8140771,94200
700,ECOLE L. de Broglie Rennes,-1.7430977,48.04685850000001,35170
701,ESCOM Cergy,2.0786111,49.0328255,95000
702,INA P-G,2.3476575,48.8397733,75005
703,ENSA Montpellier,3.8569411,43.636483,34090
704,Agrocampus Rennes,-1.7102321,48.1264244,35000
705,ENSHAP Angers,-0.6058392,47.4791574,49000
706,ENSIA Massy,2.27137,48.730756,91300
707,ENSBANA Dijon,5.04148,47.322047,21000
708,FIF Fonctionnaire Nancy,6.184417,48.692054,54100
709,FIF Civil Nancy,6.173609866675795,48.68863848181818,54000
710,ENITAB Bordeaux,-0.6063803,44.7931179,33170
711,ENITAC Clermont-Ferrand,3.1762589,45.7758304,63370
712,ENITIAA Nantes,-1.5659892,47.2635201,44300
713,ENESAD Dijon,5.04148,47.322047,21000
714,ENV Lyon,4.7072663,45.7921752,69280
715,ENV Nantes,-1.5227746,47.2891843,44300
