,ecole,longitude,latitude,postalcode
908,Supelec campus Metz handicapés,6.220958,49.10323289999999,57070
909,Supelec campus Rennnes handicapés,-1.6234012,48.1252316,35510
910,SUPELEC PC Hd,2.1661629,48.709445,91190
911,Supelec campus Rennnes cycle international,-1.6234012,48.1252316,35510
912,Supelec campus Rennnes etranger,-1.6234012,48.1252316,35510
913,Supelec campus Rennes,-1.6234012,48.1252316,35510
914,CENTRALE Lyon cycle international,4.766499899999999,45.7825983,69134
915,SupOptique etranger,2.2034927,48.71373999999999,91120
916,CENTRALE Lille cycle international,3.1365135,50.6068158,59650
917,ENSEA Cergy handicapés,2.0722879,49.0392814,95000
918,ENTPE Civil,4.9223494,45.77860829999999,69120
919,ENTPE Etr,4.9223494,45.77860829999999,69120
920,ENSC Clermont-Fd,-0.5975148,44.8062267,33400
921,CPE Lyon (Chimie),4.8697515,45.7841601,69100
922,ENSSPICA Marseille,5.36978,43.296482,13002
923,ENSIACET Chimie,1.5010751,43.5548178,31030
924,ENSIACET Mat Procede,1.5010751,43.5548178,31030
925,ENSIACET G. Chimique,1.5010751,43.5548178,31030
926,Commun Polytechn. PC-CH,2.2112917,48.7142971,91120
927,ENSICAEN : informatique,-0.367627,49.214099,14000
928,ENSER Grenoble,5.717421499999999,45.190758,38031
929,ENSP Grenoble,5.7747246,45.1986321,38400
930,ENSIMA Grenoble,5.768265899999999,45.1934574,38400
931,ENSERG-ENSIMAG:Telec,5.768265899999999,45.1934574,38400
932,CPE Lyon (Elec.),4.8697515,45.7841601,69100
933,ENAC Toulouse civil,1.4830052,43.5642909,31400
934,ENAC Fonc Tlse,1.4830052,43.5642909,31400
935,ENSEEIHT Informatique,1.455808,43.6021194,31000
936,ENSEEIHT hydraulique,1.455808,43.6021194,31000
937,ENSEEIHT Telecom.reseau,1.455808,43.6021194,31000
938,ENSIACET G. Pro. Inf,1.5010751,43.5548178,31030
939,ENSIACET G. Industri,1.5010751,43.5548178,31030
940,Commun Polytechn. PC-PH,2.2112917,48.7142971,91120
941,Ecole Navale Brest,-4.4246113,48.28053389999999,29160
942,ENGEES Fonctionnaires,7.758007800000001,48.5849696,67070
943,ENGEES Civils,7.758007800000001,48.5849696,67070
944,ESIEE/ISMEA PC,2.2919749,49.8995592,80080
945,EIVP Fonc. Paris,2.3819219,48.8740846,75019
946,EIVP Civil Paris,2.3819219,48.8740846,75019
947,ENSTIM PC,2.339138,48.8455886,75272
948,ESTP PC,2.329933291693428,48.79445900203715,94230
