,City,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
38,"Dnipro, Ukraine",13.21,8.0,5.87,12.5,17.05,244.73,0.41
39,"Banja Luka, Bosnia And Herzegovina",13.08,2.83,3.58,35.29,27.93,151.43,0.66
40,"Kharkiv, Ukraine",12.78,5.38,4.52,18.58,22.13,190.67,0.52
41,"Zagreb, Croatia",12.73,3.52,4.08,28.41,24.52,123.04,0.81
42,"Jakarta, Indonesia",12.47,8.26,9.0,12.1,11.11,107.19,0.93
43,"Mexico City, Mexico",12.44,5.74,4.44,17.41,22.54,386.56,0.26
44,"Tel Aviv-Yafo, Israel",12.4,4.2,4.75,23.81,21.04,86.27,1.16
45,"Mumbai, India",12.31,4.83,4.49,20.71,22.28,128.21,0.78
46,"Buenos Aires, Argentina",11.82,4.19,6.31,23.85,15.84,661.87,0.15
47,"Tokyo, Japan",11.64,2.13,2.93,46.95,34.1,64.21,1.56
48,"Bogota, Colombia",11.48,3.41,6.71,29.35,14.9,123.9,0.81
49,"Kuala Lumpur, Malaysia",11.27,2.3,3.75,43.49,26.69,81.92,1.22
50,"Lisbon, Portugal",10.97,3.66,3.46,27.29,28.89,62.94,1.59
51,"Amman, Jordan",10.92,8.95,9.34,11.17,10.71,115.82,0.86
52,"Miskolc, Hungary",10.42,4.8,5.33,20.83,18.75,104.56,0.96
53,"Gdynia, Poland",10.15,6.19,6.37,16.16,15.71,90.8,1.1
54,"Constanta, Romania",10.0,4.0,3.74,25.02,26.72,166.95,0.6
55,"Isfahan (Esfahan), Iran",10.0,6.31,5.73,15.85,17.44,176.02,0.57
56,"Oslo, Norway",9.9,3.08,3.17,32.51,31.53,79.73,1.25
57,"Colombo, Sri Lanka",9.82,5.4,7.35,18.51,13.61,91.37,1.09
58,"Dubai, United Arab Emirates",8.67,5.09,7.59,19.67,13.17,90.27,1.11
59,"Lyon, France",8.53,3.64,4.42,27.44,22.64,64.77,1.54
60,"New York, NY, United States",8.43,4.71,4.56,21.23,21.94,65.65,1.52
61,"Ahmedabad, India",8.35,4.51,4.36,22.18,22.92,90.13,1.11
62,"San Francisco, CA, United States",8.24,3.81,4.19,26.28,23.87,65.22,1.53
63,"Varna, Bulgaria",8.0,3.39,3.92,29.51,25.53,89.48,1.12
64,"Quito, Ecuador",7.67,10.51,8.78,9.52,11.39,98.11,1.02
65,"Dublin, Ireland",7.66,3.8,3.83,26.29,26.09,71.3,1.4
66,"Abu Dhabi, United Arab Emirates",7.54,9.29,11.75,10.77,8.51,78.51,1.27
67,"Santa Marta, Colombia",7.29,5.16,4.31,19.4,23.22,255.47,0.39
68,"Helsinki, Finland",7.22,3.9,4.68,25.62,21.37,52.51,1.9
69,"Bishkek, Kyrgyzstan",7.19,10.25,16.19,9.76,6.18,101.05,0.99
70,"Caracas, Venezuela",7.02,11.83,13.76,8.45,7.27,92.77,1.08
71,"Rotterdam, Netherlands",7.0,7.35,6.93,13.61,14.42,53.14,1.88
72,"Limassol, Cyprus",6.88,5.12,3.76,19.55,26.61,59.11,1.69
73,"Bangalore, India",6.77,6.41,5.07,15.61,19.72,73.1,1.37
74,"Lima, Peru",6.72,8.73,7.75,11.46,12.91,202.09,0.49
75,"Sydney, Australia",6.7,4.97,5.32,20.14,18.81,59.15,1.69
76,"Turin, Italy",6.67,6.55,5.5,15.26,18.18,56.4,1.77
77,"Copenhagen, Denmark",6.62,4.32,5.01,23.17,19.96,50.22,1.99
78,"Vienna, Austria",6.36,4.46,4.71,22.4,21.25,49.5,2.02
79,"Stockholm, Sweden",6.33,1.86,2.59,53.7,38.56,52.21,1.92
80,"Amsterdam, Netherlands",6.24,6.1,5.21,16.39,19.18,47.37,2.11
81,"Toronto, Canada",6.03,4.44,5.24,22.54,19.08,47.72,2.1
82,"Geneva, Switzerland",6.0,4.25,4.4,23.55,22.73,43.6,2.29
83,"Oulu, Finland",5.79,4.46,5.85,22.41,17.09,34.33,2.91
84,"Manama, Bahrain",5.74,14.4,14.22,6.94,7.03,59.79,1.67
85,"Rio de Janeiro, Brazil",5.65,6.4,8.24,15.61,12.14,52.59,1.9
86,"Istanbul, Turkey",5.35,10.47,9.37,9.55,10.67,61.96,1.61
87,"Johannesburg, South Africa",5.34,13.53,7.79,7.39,12.84,59.79,1.67
88,"Melbourne, Australia",5.3,3.26,3.29,30.65,30.37,50.25,1.99
89,"Munich, Germany",5.28,3.25,2.69,30.75,37.16,35.16,2.84
90,"Breda, Netherlands",5.15,5.21,4.66,19.19,21.46,40.36,2.48
91,"Montreal, Canada",5.09,6.89,6.69,14.5,14.95,38.18,2.62
92,"Zurich, Switzerland",5.09,6.25,5.71,16.0,17.5,37.03,2.7
93,"Dhaka, Bangladesh",5.03,5.56,9.39,18.0,10.65,75.1,1.33
94,"Loja, Ecuador",5.0,13.56,15.67,7.38,6.38,63.99,1.56
95,"Kolkata, India",4.89,4.93,7.76,20.3,12.88,56.67,1.76
96,"Seattle, WA, United States",4.8,3.87,4.33,25.86,23.08,39.62,2.52
97,"San Pedro Sula, Honduras",4.76,11.6,9.4,8.62,10.64,62.92,1.59
98,"Nicosia, Cyprus",4.59,4.6,5.08,21.72,19.67,30.54,3.27
99,"Tampere, Finland",4.46,4.07,4.4,24.59,22.73,32.46,3.08
100,"Boston, MA, United States",4.38,5.99,6.64,16.7,15.06,31.81,3.14
101,"Brussels, Belgium",4.28,7.75,7.0,12.9,14.29,33.86,2.95
102,"Puertollano, Spain",4.17,7.27,6.74,13.75,14.84,30.3,3.3
103,"Santiago, Chile",4.06,10.46,5.93,9.56,16.85,50.34,1.99
104,"Balneario Camboriu, Brazil",4.06,6.53,6.6,15.31,15.15,43.82,2.28
105,"Minneapolis, MN, United States",3.91,8.39,9.5,11.91,10.53,31.32,3.19
106,"Frankfurt, Germany",3.66,4.94,5.0,20.22,20.0,26.4,3.79
107,"Santo Domingo, Dominican Republic",3.54,11.27,11.62,8.88,8.61,49.79,2.01
108,"Philadelphia, PA, United States",3.45,5.9,13.24,16.95,7.55,28.01,3.57
109,"Atlanta, GA, United States",3.26,8.5,9.04,11.76,11.06,28.85,3.47
110,"Berlin, Germany",2.97,5.81,6.41,17.21,15.59,22.2,4.51
111,"Portland, OR, United States",2.95,5.73,8.66,17.47,11.55,25.39,3.94
112,"Columbus, OH, United States",2.1,9.83,12.33,10.17,8.11,16.61,6.02
113,"Austin, TX, United States",2.05,10.62,16.18,9.41,6.18,16.49,6.06
114,"Denver, CO, United States",1.67,5.61,9.97,17.82,10.03,14.64,6.83
115,"Lincoln, NE, United States",1.44,11.35,12.58,8.81,7.95,11.78,8.49
116,"Tampa, FL, United States",1.44,14.5,20.28,6.9,4.93,16.05,6.23
