Modele,Marque,Energie,Consommation,Rejets CO2,Rejets CO2 Classe
BENTAYGA V8,BENTLEY,ES,13.0,294.0,G
488 GTB,FERRARI,ES,12.9,294.0,G
488 SPIDER,FERRARI,ES,12.9,294.0,G
GTC4 LUSSO T,FERRARI,ES,12.9,294.0,G
911 GT3,PORSCHE,ES,13.0,294.0,G
X7 M50i,BMW,ES,12.55,287.5,G
F8 Spider,FERRARI,ES,13.0,296.0,G
GLS 580 4MATIC,MERCEDES,EH,12.6,286.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,MERCEDES,GO,11.3,297.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,11.3,297.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,11.3,297.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,11.3,297.0,G
GLS 580 4MATIC,MERCEDES,EH,13.1,297.0,G
X5 M Competition,BMW,ES,12.8,290.5,G
X5 M Competition,BMW,ES,12.8,290.5,G
X6 M Competition,BMW,ES,12.8,290.5,G
X6 M Competition,BMW,ES,12.8,290.5,G
PANAMERA GTS,PORSCHE,ES,12.6,285.5,G
PANAMERA GTS SPORT TURISMO,PORSCHE,ES,12.6,285.5,G
X5 M50i,BMW,ES,12.6,286.5,G
X6 M50i,BMW,ES,12.6,286.5,G
AMG GLS 63 4MATIC+,MERCEDES,EH,12.95,293.0,G
PANAMERA TURBO S,PORSCHE,ES,12.9,293.0,G
PANAMERA TURBO S EXECUTIVE,PORSCHE,ES,12.9,293.0,G
PANAMERA TURBO S SPORT TURISMO,PORSCHE,ES,12.9,293.0,G
AMG GLC 63 S 4MATIC,MERCEDES,ES,12.9,291.5,G
AMG GLC 63 S 4MATIC+,MERCEDES,ES,12.9,291.5,G
GLS 600 4MATIC Maybach,MERCEDES,EH,13.0,296.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,MERCEDES,GO,11.6,304.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,MERCEDES,GO,11.6,304.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,11.6,304.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,MERCEDES,GO,11.6,304.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surélevé,MERCEDES,GO,11.6,304.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,11.6,304.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,11.6,304.0,G
AMG GT 63 S 4MATIC+ Coupé 4P,MERCEDES,ES,12.8,291.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg court Toit plat,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit plat,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg court Toit plat,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg court Toit plat,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit plat,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3190 kg normal Toit surélevé,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 314 CDI (143ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3190 kg normal Toit surélevé,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,11.7,306.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,11.7,306.0,G
R8 Performance RWD Coupé V10 (570ch) S tronic 7,AUDI,ES,12.9,293.0,G
LEVANTE S,MASERATI,ES,13.05,296.5,G
GLS 600 4MATIC Maybach,MERCEDES,EH,13.25,301.0,G
R8 Coupé V10 performance quattro (620ch) S tronic 7,AUDI,ES,13.2,300.0,G
X7 M50i,BMW,ES,13.0,296.0,G
CAYENNE GTS,PORSCHE,ES,13.2,299.5,G
CAYENNE COUPE GTS,PORSCHE,ES,13.2,299.5,G
X5 M Competition,BMW,ES,13.399999999999999,304.0,G
X5 M Competition,BMW,ES,13.399999999999999,304.0,G
X6 M Competition,BMW,ES,13.399999999999999,304.0,G
X6 M Competition,BMW,ES,13.399999999999999,304.0,G
LEVANTE,MASERATI,ES,13.1,297.0,G
LEVANTE,MASERATI,ES,13.1,297.0,G
AMG GT 63 S 4-Door Coupé 4MATIC+,MERCEDES,ES,13.05,297.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg court Toit plat,MERCEDES,GO,11.9,312.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,11.9,312.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,11.9,312.0,G
SPRINTER Combi 316 CDI (163ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,11.9,312.0,G
Mercedes-Maybach S 680 4MATIC,MERCEDES,ES,13.5,307.0,G
RS Q8 (V8 4.0 BiTFSI mHEV) 600 ch,AUDI,EH,13.45,305.0,G
GT 3.5 EcoBoost BVA7,FORD,ES,13.7,315.0,G
GT-R 2021 3.8L V6,NISSAN,ES,14.0,316.0,G
CAYENNE TURBO,PORSCHE,ES,13.649999999999999,309.5,G
CAYENNE TURBO COUPE,PORSCHE,ES,13.649999999999999,309.5,G
CAYENNE TURBO GT,PORSCHE,ES,14.1,319.0,G
R8 Performance RWD Spyder V10 (540ch) S tronic 7,AUDI,ES,13.65,308.5,G
R8 Spyder V10 performance quattro (570ch) S tronic 7,AUDI,ES,13.9,315.5,G
URUS,LAMBORGHINI,ES,12.7,325.0,G
GT-R 2021 3.8L V6 NISMO,NISSAN,ES,14.4,325.0,G
SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,12.5,327.0,G
SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,12.5,327.0,G
SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,12.5,327.0,G
CAYENNE GTS,PORSCHE,ES,14.0,317.5,G
CAYENNE COUPE GTS,PORSCHE,ES,14.0,317.5,G
HURACAN EVO Coupe RWD,LAMBORGHINI,ES,13.8,330.0,G
HURACAN STO,LAMBORGHINI,ES,13.9,331.0,G
