Modele,Marque,Energie,Consommation,Rejets CO2,Rejets CO2 Classe
"T-ROC 2.0 TDI (115ch) BVM6 pneu 16""/17"" roulement faible résistance LED Fi B équipement std EU6 AP",VOLKSWAGEN,GO,5.2,136.5,C
"T-ROC 2.0 TDI (115ch) BVM6 pneu 16""/17"" roulement faible résistance LED Fi B eq std EU6 AP gn M",VOLKSWAGEN,GO,5.2,136.5,C
"T-ROC 2.0 TDI (115ch) BVM6 pneu 17""/18"" toutes saisons Fi B équipement std EU6 AP",VOLKSWAGEN,GO,5.2,136.5,C
"T-ROC 2.0 TDI (115ch) BVM6 pneu 17""/18"" toutes saisons Fi B équipement std EU6 AP générateur M",VOLKSWAGEN,GO,5.2,136.5,C
"T-ROC 2.0 TDI (115ch) BVM6 pn 17""/18"" ttes saisons Fi B équipt std EU6 AP LED",VOLKSWAGEN,GO,5.2,136.5,C
"T-ROC 2.0 TDI (115ch) BVM6 pn 17""/18"" ttes saisons Fi B équipt std EU6 AP gn",VOLKSWAGEN,GO,5.2,136.5,C
"T-ROC 2.0 TDI (115ch) BVM6 pn 17""/18"" ttes saisons Fi B équipt std EU6 AP LED gn",VOLKSWAGEN,GO,5.2,136.5,C
"T-ROC 2.0 TDI (115ch) BVM6 pneu 17""/18"" toutes saisons LED Fi B équipement std EU6 AP",VOLKSWAGEN,GO,5.2,136.5,C
"T-ROC 2.0 TDI (115ch) BVM6 pneu 17""/18"" toutes saisons LED Fi B équipement std EU6 AP g M",VOLKSWAGEN,GO,5.2,136.5,C
DUSTER (91ch),DACIA,ES,6.25,141.0,D
Kamiq Monte-Carlo 1.0 TSI 95ch BVM5. châssis classique. classe A,SKODA,ES,6.1,137.5,C
Kamiq Monte-Carlo 1.0 TSI 95ch BVM5. châssis classique. classe B,SKODA,ES,6.1,137.5,C
Kamiq Scoutline 1.0 TSI 95ch BVM5. châssis classique. classe A,SKODA,ES,6.1,137.5,C
Kamiq Scoutline 1.0 TSI 95ch BVM5. châssis classique. classe B,SKODA,ES,6.1,137.5,C
Kamiq Monte-Carlo 1.0 TSI 95ch BVM5. châssis sport select. classe A,SKODA,ES,6.1,137.5,C
Kamiq Monte-Carlo 1.0 TSI 95ch BVM5. châssis sport select. classe B,SKODA,ES,6.1,137.5,C
Kamiq Active 1.0 TSI 95ch BVM5. châssis classique. classe A,SKODA,ES,6.1,137.5,C
Kamiq Active 1.0 TSI 95ch BVM5. châssis classique. classe B,SKODA,ES,6.1,137.5,C
Kamiq Ambition 1.0 TSI 95ch BVM5. châssis classique. classe A,SKODA,ES,6.1,137.5,C
Kamiq Ambition 1.0 TSI 95ch BVM5. châssis classique. classe B,SKODA,ES,6.1,137.5,C
Kamiq Style 1.0 TSI 95ch BVM5. châssis classique. classe A,SKODA,ES,6.1,137.5,C
Kamiq Style 1.0 TSI 95ch BVM5. châssis classique. classe B,SKODA,ES,6.1,137.5,C
Kamiq Ambition 1.0 TSI 95ch BVM5. châssis sport select. classe A,SKODA,ES,6.1,137.5,C
Kamiq Ambition 1.0 TSI 95ch BVM5. châssis sport select. classe B,SKODA,ES,6.1,137.5,C
Kamiq Style 1.0 TSI 95ch BVM5. châssis sport select. classe A,SKODA,ES,6.1,137.5,C
Kamiq Style 1.0 TSI 95ch BVM5. châssis sport select. classe B,SKODA,ES,6.1,137.5,C
Superb Berline 2.0 TDI (150ch) DSG7 L&K famille A,SKODA,GO,5.2,136.0,C
Superb Berline 2.0 TDI (200ch) DSG7 Style famille A,SKODA,GO,5.2,136.0,C
Superb Berline 2.0 TDI (200ch) DSG7 L&K famille A,SKODA,GO,5.2,136.0,C
Superb Berline 2.0 TDI (200ch) DSG7 4x2 famille A,SKODA,GO,5.2,136.0,C
Superb Berline 2.0 TDI (200ch) DSG7 Sportline famille A,SKODA,GO,5.2,136.0,C
Superb Combi 2.0 TDI (200ch) DSG7 Style famille A,SKODA,GO,5.2,136.0,C
Superb Combi 2.0 TDI (200ch) DSG7 L&K famille A,SKODA,GO,5.2,136.0,C
Superb Combi 2.0 TDI (200ch) DSG7 4x2 famille A,SKODA,GO,5.2,136.0,C
Superb Combi SCOUT 2.0 TDI (200ch) DSG7 4x2 famille A,SKODA,GO,5.2,136.0,C
Superb Combi 2.0 TDI (200ch) DSG7 Sportline famille A,SKODA,GO,5.2,136.0,C
Superb Combi Scout 2.0 TDI (200ch) DSG7 famille A,SKODA,GO,5.2,136.0,C
PUMA 1.0 EcoBoost Hybrid (155ch) DCT-7,FORD,EH,6.050000000000001,137.0,C
C4 1.2 PureTech S&S (155ch) BVA8,CITROEN,ES,6.1,138.0,C
INSIGNIA GRAND SPORT (174ch),OPEL,GO,5.25,137.0,C
INSIGNIA SPORTS TOURER (174ch),OPEL,GO,5.25,137.0,C
Taigo 1.0 TSI 110 BVM6 pn 16''/17''std roult fbl résist FiB EU6AP,VOLKSWAGEN,ES,6.0,136.5,C
Taigo 1.0 TSI 110 BVM6 pn 16''/17''std roult fbl résist FiB EU6AP générateur,VOLKSWAGEN,ES,6.0,136.5,C
Taigo 1.0 TSI 110 BVM6 pn 18''std FiB EU6AP,VOLKSWAGEN,ES,6.0,136.5,C
Taigo 1.0 TSI 110 BVM6 pn 18''std FiB EU6AP générateur,VOLKSWAGEN,ES,6.0,136.5,C
DUSTER (130ch),DACIA,ES,6.300000000000001,142.0,D
TIPO 5P 1.6 multijet (120ch) S/S,FIAT,GO,5.2,137.0,C
TIPO 4P 1.6 multijet (120ch) S/S,FIAT,GO,5.2,137.0,C
TIPO Sw 1.6 multijet (120ch) S/S,FIAT,GO,5.2,137.0,C
A1 citycarver 35 TFSI (150ch) S tronic 7,AUDI,ES,6.050000000000001,137.5,C
C 180 d,MERCEDES,GO,5.199999999999999,136.0,C
C 200 d,MERCEDES,GO,5.199999999999999,136.0,C
LEON 5P TSI (110ch) BVM6,SEAT,ES,6.050000000000001,138.0,C
LEON SP TSI (110ch) BVM6,SEAT,ES,6.050000000000001,138.0,C
Kamiq Scoutline 1.0 TSI (110ch) BVM6. châssis classique. classe A,SKODA,ES,6.050000000000001,137.0,C
Kamiq Scoutline 1.0 TSI (110ch) BVM6. châssis classique. classe B,SKODA,ES,6.050000000000001,137.0,C
Kamiq Monte-Carlo 1.0 TSI (110ch) BVM6. châssis classique. classe A,SKODA,ES,6.050000000000001,137.0,C
Kamiq Monte-Carlo 1.0 TSI (110ch) BVM6. châssis classique. classe B,SKODA,ES,6.050000000000001,137.0,C
Kamiq Monte-Carlo 1.0 TSI (110ch) BVM6. châssis sport select. classe A,SKODA,ES,6.050000000000001,137.0,C
Kamiq Monte-Carlo 1.0 TSI (110ch) BVM6. châssis sport select. classe B,SKODA,ES,6.050000000000001,137.0,C
Kamiq Style 1.0 TSI (110ch) BVM6. châssis classique. classe B,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Monte-Carlo. classe A sans ei famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Monte-Carlo. clA LED base et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Monte-Carlo. clA Full LED et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Monte-Carlo. classe B sans ei famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Monte-Carlo. clB LED base et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Monte-Carlo. clB Full LED et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Normal. classe A sans éco-innovation famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Normal. clA LED base et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Normal. clA avec Full LED et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Normal. classe B sans éco-innovation famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Normal. clB LED base et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Normal. clB avec Full LED et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq Active 1.0 TSI (110ch) BVM6. châssis classique. classe A,SKODA,ES,6.050000000000001,137.0,C
Kamiq Active 1.0 TSI (110ch) BVM6. châssis classique. classe B,SKODA,ES,6.050000000000001,137.0,C
Kamiq Ambition 1.0 TSI (110ch) BVM6. châssis classique. classe A,SKODA,ES,6.050000000000001,137.0,C
Kamiq Ambition 1.0 TSI (110ch) BVM6. châssis classique. classe B,SKODA,ES,6.050000000000001,137.0,C
Kamiq Style 1.0 TSI (110ch) BVM6. châssis classique. classe A,SKODA,ES,6.050000000000001,137.0,C
Kamiq Style 1.0 TSI (110ch) BVM6. châssis sport select. classe B,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select. Monte-Carlo. classe A sans ei famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châs sport select. Monte-Carlo. clA LED base et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châs sport select. Monte-Carlo. clA Full LED et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select. Monte-Carlo. classe B sans ei famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châs sport select. Monte-Carlo. clB LED base et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châs sport select. Monte-Carlo. clB Full LED et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select. Normal. classe A sans ei famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select. Normal. clA LED base et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select. Normal. clA Full LED et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select. Normal. classe B sans ei famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select. Normal. clB LED base et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select. Normal. clB Full LED et alt 140A famB,SKODA,ES,6.050000000000001,137.0,C
Kamiq Ambition 1.0 TSI (110ch) BVM6. châssis sport select. classe A,SKODA,ES,6.050000000000001,137.0,C
Kamiq Ambition 1.0 TSI (110ch) BVM6. châssis sport select. classe B,SKODA,ES,6.050000000000001,137.0,C
Kamiq Style 1.0 TSI (110ch) BVM6. châssis sport select. classe A,SKODA,ES,6.050000000000001,137.0,C
Scala Monte-Carlo 1.0 TSI (110ch) BVM6 famille B,SKODA,ES,6.050000000000001,137.0,C
Scala Monte-Carlo châssis sport 1.0 TSI (110ch) BVM6 famille B,SKODA,ES,6.050000000000001,137.0,C
Scala Active 1.0 TSI (110ch) BVM6 famille B,SKODA,ES,6.050000000000001,137.0,C
Scala Ambition 1.0 TSI (110ch) BVM6 famille B,SKODA,ES,6.050000000000001,137.0,C
Scala Style 1.0 TSI (110ch) BVM6 famille B,SKODA,ES,6.050000000000001,137.0,C
Scala 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Monte-Carlo. classe A et famille B,SKODA,ES,6.050000000000001,137.0,C
Scala 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Monte-Carlo. classe B et famille B,SKODA,ES,6.050000000000001,137.0,C
Scala 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Normal. classe A et famille B,SKODA,ES,6.050000000000001,137.0,C
Scala 1.0 TSI (110ch) BVM6. Norme AP. châssis classique. Normal. classe B et famille B,SKODA,ES,6.050000000000001,137.0,C
Scala Active 1.0 TSI (110ch) BVM6,SKODA,ES,6.050000000000001,137.0,C
Scala Ambition châssis sport 1.0 TSI (110ch) BVM6 famille B,SKODA,ES,6.050000000000001,137.0,C
Scala Style châssis sport 1.0 TSI (110ch) BVM6 famille B,SKODA,ES,6.050000000000001,137.0,C
Scala 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select . Monte-Carlo. classe A et famille B,SKODA,ES,6.050000000000001,137.0,C
Scala 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select . Monte-Carlo. classe B et famille B,SKODA,ES,6.050000000000001,137.0,C
Scala 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select . Normal. classe A et famille B,SKODA,ES,6.050000000000001,137.0,C
Scala 1.0 TSI (110ch) BVM6. Norme AP. châssis sport select . Normal. classe B et famille B,SKODA,ES,6.050000000000001,137.0,C
FIESTA 1.0 Ecoboost (125ch) BVA7,FORD,ES,5.95,135.0,C
MINI Cooper Cabrio (F57),MINI,ES,5.9,135.0,C
MINI Cooper Hatch 3P (F56),MINI,ES,5.9,135.0,C
MINI Cooper Hatch 5P (F55),MINI,ES,5.9,135.0,C
TOURNEO COURIER 1.5 TDCI (75ch) BVM6 S&S,FORD,GO,5.35,139.0,C
TOURNEO COURIER 1.5 TDCI (100ch) BVM6 S&S,FORD,GO,5.35,139.0,C
TRANSIT COURIER 1.5 TDCI (75ch) BVM6 S&S,FORD,GO,5.35,139.0,C
TRANSIT COURIER 1.5 TDCI (100ch) BVM6 S&S,FORD,GO,5.35,139.0,C
KUGA 2.5 EcoBoost Hybrid (150ch),FORD,EH,5.9,135.0,C
LODGY (102ch),DACIA,ES,6.25,141.5,D
MINI Cooper SD Countryman (F60),MINI,GO,5.35,140.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Active Classe A sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Active clA Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Active Classe A avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Active Classe B sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Active clB Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Active Classe B avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Active Classe C sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Active clC Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Active Classe C avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Ambition Classe A sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Ambition clA Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Ambition Classe A avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Ambition Classe B sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Ambition clB Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Ambition Classe B avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Ambition Classe C sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Ambition clC Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Ambition Classe C avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Style Classe A sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Style clA avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Style Classe A avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Style Classe B sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Style clB avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Style Classe B avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Style Classe C sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Style clC avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Style Classe C avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Scout Classe A sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Scout clA avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Scout Classe A avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Scout Classe B sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Scout clB avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Scout Classe B avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Scout Classe C sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Scout clC avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 15'' Normal. Scout Classe C avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq Sportline 1.5 TSI (150ch) DSG7 4x2. classe A,SKODA,ES,6.050000000000001,137.0,C
Karoq Sportline 1.5 TSI (150ch) DSG7 4x2. classe B,SKODA,ES,6.050000000000001,137.0,C
Karoq Sportline 1.5 TSI (150ch) DSG7 4x2. classe C,SKODA,ES,6.050000000000001,137.0,C
Karoq Active 1.5 TSI (150ch) DSG7 4x2. classe A,SKODA,ES,6.050000000000001,137.0,C
Karoq Active 1.5 TSI (150ch) DSG7 4x2. classe B,SKODA,ES,6.050000000000001,137.0,C
Karoq Active 1.5 TSI (150ch) DSG7 4x2. classe C,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Active Classe A sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Active clA Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Active Classe A avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Active Classe B sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Active clB Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Active Classe B avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Active Classe C sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Active clC Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Active Classe C avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Ambition Classe A sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Ambition clA Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Ambition Classe A avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Ambition Classe B sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Ambition clB Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Ambition Classe B avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Ambition Classe C sans eis famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Ambition clC Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Ambition Classe C avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Style Classe A sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Style clA avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Style Classe A avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Style Classe B sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Style clB avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Style Classe B avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Style Classe C sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Style clC avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Style Classe C avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Scout Classe A sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Scout clA avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Scout Classe A avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Scout Classe B sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Scout clB avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Scout Classe B avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Scout Classe C sans éco-innovations famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Scout clC avec Full LED et alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Normal. Scout Classe C avec alt 140A famA,SKODA,ES,6.050000000000001,137.0,C
Superb Berline 1.5 TSI (150ch) DSG7 Style famille A,SKODA,ES,6.050000000000001,137.0,C
TUCSON CRDi (136ch) DCT-7 Hybrid 48V Business,HYUNDAI,GH,5.4,141.5,D
TUCSON CRDi (136ch) DCT-7 Hybrid 48V Créative/Executive,HYUNDAI,GH,5.4,141.5,D
TUCSON CRDi (136ch) DCT-7 Hybrid 48V N Line Executive,HYUNDAI,GH,5.4,141.5,D
Q2 35 TFSI (150ch) S tronic 7,AUDI,ES,6.050000000000001,138.0,C
TIPO 5P 1.6 multijet (120ch) S/S,FIAT,GO,5.3,137.5,C
TIPO 4P 1.6 multijet (120ch) S/S,FIAT,GO,5.3,137.5,C
TIPO SW 1.6 multijet (120ch) S/S,FIAT,GO,5.3,137.5,C
CEED 1.4 essence T-GDi (140ch) ISG BVM6,KIA,ES,6.15,140.5,D
CEED GT Line 1.4 essence T-GDi (140ch) ISG BVM6,KIA,ES,6.15,140.5,D
CEED SW 1.4 essence T-GDi (140ch) ISG BVM6,KIA,ES,6.15,140.5,D
CEED SW GT Line 1.4 essence T-GDi (140ch) ISG BVM6,KIA,ES,6.15,140.5,D
PROCEED 1.6 Diesel CRDi (136ch) ISG BVM6,KIA,ES,6.15,140.5,D
C 220 d,MERCEDES,GO,5.199999999999999,136.5,C
