date,ID,lat,long,value
2012-01,ASN00060116,-31.4367,152.4633,1968
2012-01,ASN00060117,-31.8833,152.15,2075
2012-01,ASN00060118,-31.7753,152.0778,1954
2012-01,ASN00060121,-31.5667,152.2401,2404
2012-01,ASN00060122,-31.8922,152.2739,1796
2012-01,ASN00060096,-32.2583,152.1208,2200
2012-01,ASN00063290,-33.4983,150.5215,1096
2012-01,ASN00068160,-34.0542,150.8772,1010
2012-01,ASN00063292,-33.6185,150.2741,1520
2012-01,ASN00069019,-36.8402,149.5257,678
2012-01,ASN00069022,-36.2144,150.1358,276
2012-01,ASN00069023,-35.6488,150.1454,329
2012-01,ASN00069029,-37.3623,149.6984,530
2012-01,ASN00069033,-35.9017,149.9611,340
2012-01,ASN00069035,-35.7564,149.815,270
2012-01,ASN00069036,-36.0876,150.0508,250
2012-01,ASN00069041,-35.2514,149.9158,196
2012-01,ASN00069042,-35.7661,149.9416,778
2012-01,ASN00069048,-35.7581,149.8252,248
2012-01,ASN00069052,-35.7343,150.0508,626
2012-01,ASN00069054,-36.2967,149.51,558
2012-01,ASN00069062,-35.9446,149.5876,440
2012-01,ASN00069065,-36.5676,149.7511,406
2012-01,ASN00069066,-36.9296,149.646,360
2012-01,ASN00069068,-36.6036,149.9984,258
2012-01,ASN00069088,-36.1935,149.4735,370
2012-01,ASN00069114,-36.5404,149.8229,184
2012-01,ASN00069127,-35.6864,149.8386,444
2012-01,ASN00069018,-35.9093,150.1532,152
2012-01,ASN00069017,-36.2519,150.2275,50
2012-01,ASN00069015,-37.0557,149.9053,298
2012-01,ASN00069014,-36.3881,149.8882,294
2012-01,ASN00068215,-34.4167,150.1967,570
2012-01,ASN00068216,-34.1194,150.7402,545
2012-01,ASN00068217,-34.6866,150.5253,784
2012-01,ASN00068224,-34.5858,150.6264,1360
2012-01,ASN00068228,-34.3691,150.9291,1214
2012-01,ASN00068229,-35.2439,150.5098,368
2012-01,ASN00068233,-34.8517,150.3883,590
2012-01,ASN00068239,-34.5253,150.4217,422
2012-01,ASN00068241,-34.5638,150.79,454
2012-01,ASN00069132,-35.4253,149.7835,132
2012-01,ASN00068243,-34.5776,150.5118,516
2012-01,ASN00068247,-34.7679,150.562,1128
2012-01,ASN00068248,-34.6625,150.4333,570
2012-01,ASN00068249,-34.9636,150.0967,392
2012-01,ASN00068252,-34.6708,150.8497,856
2012-01,ASN00068255,-34.4875,150.4014,460
2012-01,ASN00069003,-36.6278,149.5705,434
2012-01,ASN00069006,-35.7011,149.7896,20
2012-01,ASN00069010,-35.4489,149.799,190
2012-01,ASN00069013,-36.7677,149.6951,317
2012-01,ASN00068245,-34.9528,150.7019,516
2012-01,ASN00068213,-34.8667,150.605,570
2012-01,ASN00069133,-36.6631,149.5139,710
2012-01,ASN00069137,-37.2622,150.0504,318
2012-01,ASN00070117,-34.7169,149.1207,638
2012-01,ASN00070124,-34.3024,149.8767,1040
2012-01,ASN00070143,-34.6389,149.9541,825
2012-01,ASN00070144,-34.4084,149.8836,754
2012-01,ASN00070147,-34.5604,149.7381,560
2012-01,ASN00070161,-36.425,149.1139,522
2012-01,ASN00070165,-36.3541,149.198,276
2012-01,ASN00070214,-35.6311,149.5,724
2012-01,ASN00070217,-36.2939,148.9725,848
2012-01,ASN00070231,-35.3266,149.0492,620
2012-01,ASN00070237,-36.5902,149.3824,606
2012-01,ASN00070242,-35.2572,149.0742,426
2012-01,ASN00070246,-35.3098,149.1269,98
2012-01,ASN00070247,-35.2776,149.1095,455
2012-01,ASN00070261,-35.6904,149.5869,694
2012-01,ASN00058113,-28.4738,153.0861,3752
2012-01,ASN00070263,-34.7495,149.7034,454
2012-01,ASN00070278,-36.2318,149.1243,452
2012-01,ASN00070299,-36.1827,149.3467,190
2012-01,ASN00070112,-34.7226,149.1816,493
2012-01,ASN00070106,-36.8439,149.3897,408
2012-01,ASN00070084,-36.9325,148.9393,658
2012-01,ASN00070080,-34.4048,149.8197,726
2012-01,ASN00069138,-35.3635,150.4827,306
2012-01,ASN00069139,-36.6722,149.8191,250
2012-01,ASN00069140,-36.4948,149.7434,180
2012-01,ASN00069142,-35.924,150.0362,342
2012-01,ASN00069145,-35.9775,149.8611,710
2012-01,ASN00069147,-36.9077,149.8989,406
2012-01,ASN00069148,-35.9004,150.1437,144
2012-01,ASN00069150,-35.3785,150.0032,288
2012-01,ASN00070005,-36.9113,149.2379,392
2012-01,ASN00069134,-35.7234,150.1872,354
2012-01,ASN00070016,-35.5889,149.4478,572
2012-01,ASN00070032,-35.2274,148.9139,1065
2012-01,ASN00070043,-34.7823,149.2681,732
2012-01,ASN00070045,-35.1548,149.057,370
2012-01,ASN00070054,-36.2009,149.0602,402
2012-01,ASN00070060,-35.1559,149.7725,372
2012-01,ASN00070061,-35.5646,149.7406,554
2012-01,ASN00070063,-34.7139,150.0031,542
2012-01,ASN00070071,-34.6514,149.5024,642
2012-01,ASN00070077,-34.9031,149.67,564
2012-01,ASN00070025,-34.4578,149.4693,556
2012-01,ASN00068202,-34.6033,150.5487,662
2012-01,ASN00068200,-34.2075,150.7095,726
2012-01,ASN00068192,-34.0391,150.689,758
2012-01,ASN00065034,-32.5635,148.9503,1011
2012-01,ASN00065041,-33.0956,148.8692,816
2012-01,ASN00065051,-32.9283,148.7547,746
2012-01,ASN00065068,-33.1281,148.2428,888
2012-01,ASN00065070,-32.2206,148.5753,980
2012-01,ASN00065084,-33.3711,148.5917,356
2012-01,ASN00065096,-33.2682,148.3945,618
2012-01,ASN00065098,-32.6833,148.9167,1080
2012-01,ASN00065099,-32.3778,148.8741,1172
2012-01,ASN00065103,-33.3627,147.9205,514
2012-01,ASN00065106,-32.0358,148.6552,866
2012-01,ASN00065111,-33.8449,148.6497,678
2012-01,ASN00065112,-33.4818,148.2608,360
2012-01,ASN00066011,-33.8,151.2,1910
2012-01,ASN00066013,-33.8523,151.0985,1294
2012-01,ASN00066034,-33.8507,151.1295,1432
2012-01,ASN00066036,-33.9186,151.1402,1120
2012-01,ASN00066037,-33.9465,151.1731,1106
2012-01,ASN00066048,-33.8483,151.1105,896
2012-01,ASN00065030,-32.5192,148.5187,700
2012-01,ASN00065023,-33.0866,148.8598,888
2012-01,ASN00065022,-33.1628,148.5879,1068
2012-01,ASN00065020,-33.183,148.6941,956
2012-01,ASN00063293,-33.74,149.8822,620
2012-01,ASN00063295,-33.6297,150.2803,1530
2012-01,ASN00063297,-33.5728,149.9128,270
2012-01,ASN00063298,-33.6144,149.6981,530
2012-01,ASN00063302,-33.8275,149.6033,850
2012-01,ASN00063303,-33.3813,149.127,958
2012-01,ASN00063304,-33.7181,149.5106,630
2012-01,ASN00064008,-31.2712,149.2714,1268
2012-01,ASN00064009,-32.0159,149.3964,970
2012-01,ASN00066052,-33.9096,151.2419,1346
2012-01,ASN00064010,-32.1141,149.0365,1508
2012-01,ASN00064017,-31.3304,149.2699,1602
2012-01,ASN00064024,-31.5622,148.9547,1454
2012-01,ASN00064027,-31.3125,149.2048,1190
2012-01,ASN00064029,-32.0156,149.3925,780
2012-01,ASN00064050,-31.646,149.6209,916
2012-01,ASN00064054,-31.7914,149.6705,604
2012-01,ASN00065000,-32.4975,148.7488,1030
2012-01,ASN00065010,-33.2869,148.7396,524
2012-01,ASN00065013,-33.4278,148.3721,322
2012-01,ASN00064015,-31.8227,149.1217,1184
2012-01,ASN00066058,-33.9942,151.1292,950
2012-01,ASN00066059,-33.6908,151.2253,1678
2012-01,ASN00066073,-33.9105,151.2276,1300
2012-01,ASN00067109,-33.7678,150.9814,1445
2012-01,ASN00067110,-33.7858,150.9236,1595
2012-01,ASN00067111,-33.7931,151.0167,1550
2012-01,ASN00067112,-33.7672,151.0186,1865
2012-01,ASN00067113,-33.7195,150.6783,1380
2012-01,ASN00067114,-33.8667,150.8611,1570
2012-01,ASN00067119,-33.8511,150.8567,1350
2012-01,ASN00068000,-34.5712,150.7761,326
2012-01,ASN00068007,-34.0254,150.6455,992
2012-01,ASN00067108,-33.8969,150.7281,1198
2012-01,ASN00068024,-34.2272,150.9111,2422
2012-01,ASN00068044,-34.4474,150.4568,710
2012-01,ASN00068072,-34.9469,150.5353,526
2012-01,ASN00068080,-34.9158,150.7312,494
2012-01,ASN00068083,-34.9282,150.7484,541
2012-01,ASN00068088,-35.0938,150.6228,434
2012-01,ASN00068110,-34.4829,150.8555,1182
2012-01,ASN00068125,-34.0904,150.5052,1426
2012-01,ASN00068151,-35.0936,150.8049,442
2012-01,ASN00068181,-34.7275,150.5208,900
2012-01,ASN00068035,-34.6642,150.7586,766
2012-01,ASN00063291,-33.412,149.654,572
2012-01,ASN00067105,-33.6004,150.7761,1524
2012-01,ASN00067094,-33.4383,150.8917,708
2012-01,ASN00066078,-34.0517,150.98,1160
2012-01,ASN00066080,-33.7809,151.2044,2090
2012-01,ASN00066098,-33.8809,151.2658,1896
2012-01,ASN00066124,-33.7917,151.0181,1696
2012-01,ASN00066128,-33.5965,151.3221,1220
2012-01,ASN00066137,-33.9181,150.9864,946
2012-01,ASN00066148,-33.97,151.0638,970
2012-01,ASN00066156,-33.7791,151.1121,2649
2012-01,ASN00066176,-34.0658,151.0567,980
2012-01,ASN00067104,-33.6617,150.9,1300
2012-01,ASN00066188,-33.7402,151.2173,1806
2012-01,ASN00066204,-34.0009,151.0738,347
2012-01,ASN00067002,-33.6667,150.6696,1598
2012-01,ASN00067017,-33.8136,150.9392,1166
2012-01,ASN00067019,-33.8193,150.9127,1405
2012-01,ASN00067021,-33.6165,150.7477,250
2012-01,ASN00067023,-33.4972,151.0931,1510
2012-01,ASN00067026,-33.7704,150.9318,1424
2012-01,ASN00067027,-33.8902,150.5934,2
2012-01,ASN00067033,-33.6022,150.7794,1597
2012-01,ASN00066194,-33.9057,151.1134,1294
2012-01,ASN00058102,-29.737,152.7852,3110
2012-01,ASN00047056,-32.419,141.5525,646
2012-01,ASN00058097,-29.1514,153.2792,3750
2012-01,ASN00043052,-27.0006,149.4969,888
2012-01,ASN00043054,-25.8428,148.5669,1544
2012-01,ASN00043060,-26.0756,147.9044,1163
2012-01,ASN00043061,-25.9847,148.5567,1362
2012-01,ASN00043080,-27.2275,148.7411,732
2012-01,ASN00043091,-26.5442,148.7778,1656
2012-01,ASN00043093,-26.6064,148.5372,506
2012-01,ASN00043095,-27.3867,149.3878,938
2012-01,ASN00043099,-26.82,148.0244,680
2012-01,ASN00043100,-27.7333,148.4667,1120
2012-01,ASN00043101,-27.3117,148.8267,1020
2012-01,ASN00043102,-26.49,147.9792,1230
2012-01,ASN00043105,-26.4083,148.7833,1928
2012-01,ASN00043106,-26.5089,148.1314,1540
2012-01,ASN00043108,-25.96,148.3867,1242
2012-01,ASN00043109,-28.0489,148.5942,1076
2012-01,ASN00043112,-26.7997,148.5989,1294
2012-01,ASN00044010,-28.0336,147.4803,1730
2012-01,ASN00044021,-26.4139,146.2558,1070
2012-01,ASN00043051,-26.2625,149.2389,1460
2012-01,ASN00043045,-28.0944,148.9731,1154
2012-01,ASN00043043,-26.6133,149.3878,1206
2012-01,ASN00043037,-26.2094,149.0894,1311
2012-01,ASN00041546,-27.9803,150.515,1480
2012-01,ASN00041547,-28.9236,151.9289,940
2012-01,ASN00041548,-28.8675,151.1611,760
2012-01,ASN00041551,-26.9669,151.4847,760
2012-01,ASN00042002,-27.2067,150.2828,1606
2012-01,ASN00042016,-27.3411,150.0619,2039
2012-01,ASN00042022,-27.3236,149.8828,741
2012-01,ASN00042023,-26.6581,150.1844,1194
2012-01,ASN00042025,-26.5519,150.6322,602
2012-01,ASN00044026,-28.0706,145.6808,2184
2012-01,ASN00042034,-27.1689,150.0019,2322
2012-01,ASN00042078,-26.9186,150.4722,1220
2012-01,ASN00042100,-27.7644,150.0694,1454
2012-01,ASN00042104,-28.3839,149.6747,720
2012-01,ASN00042112,-26.6569,150.1819,6
2012-01,ASN00042115,-28.0697,149.9794,320
2012-01,ASN00042116,-28.23,149.5617,692
2012-01,ASN00043015,-25.8428,148.5669,1544
2012-01,ASN00043020,-26.4888,147.9777,1179
2012-01,ASN00043035,-27.159,149.0703,1174
2012-01,ASN00042035,-26.6439,149.6278,1890
2012-01,ASN00041545,-27.6539,150.9136,852
2012-01,ASN00044038,-27.02,147.1536,2030
2012-01,ASN00044041,-25.9719,146.6189,1904
2012-01,ASN00046002,-29.7656,143.1142,380
2012-01,ASN00046012,-31.5194,143.385,392
2012-01,ASN00046015,-31.4459,142.1352,250
2012-01,ASN00046022,-31.4469,143.6548,586
2012-01,ASN00046043,-31.5631,143.3747,630
2012-01,ASN00046052,-29.4089,143.3808,414
2012-01,ASN00046124,-29.8718,142.434,642
2012-01,ASN00046126,-29.4448,142.0567,482
2012-01,ASN00046128,-31.0867,141.7017,468
2012-01,ASN00046129,-30.8517,143.0742,502
2012-01,ASN00047013,-32.9669,143.1071,870
2012-01,ASN00047016,-34.0398,141.2652,207
2012-01,ASN00047019,-32.3937,142.4173,319
2012-01,ASN00047022,-32.4757,143.9409,470
2012-01,ASN00047029,-33.3856,142.5696,359
2012-01,ASN00047033,-33.4268,142.5719,290
2012-01,ASN00047040,-33.9297,142.3572,100
2012-01,ASN00047046,-33.2552,141.7984,252
2012-01,ASN00047048,-32.0012,141.4694,1294
2012-01,ASN00045029,-28.0722,141.5317,222
2012-01,ASN00045025,-27.9867,143.815,440
2012-01,ASN00045015,-26.6125,144.2578,931
2012-01,ASN00045009,-27.4008,141.8114,96
2012-01,ASN00044045,-27.4133,147.4314,1667
2012-01,ASN00044047,-26.44,147.6942,1800
2012-01,ASN00044050,-26.4156,147.1131,2142
2012-01,ASN00044054,-28.8061,147.1194,1888
2012-01,ASN00044056,-26.4458,147.5453,1394
2012-01,ASN00044057,-25.4992,146.5442,1318
2012-01,ASN00044070,-26.375,147.0394,1830
2012-01,ASN00044075,-27.265,148.0814,686
2012-01,ASN00044111,-25.8517,146.1894,2684
2012-01,ASN00044040,-26.1108,144.8728,2474
2012-01,ASN00044137,-27.8717,148.0344,2028
2012-01,ASN00044153,-28.1631,145.0431,640
2012-01,ASN00044154,-28.3875,148.3111,1197
2012-01,ASN00044174,-27.62,145.8281,1344
2012-01,ASN00044181,-28.9972,144.4094,810
2012-01,ASN00044194,-28.3544,148.8217,958
2012-01,ASN00044208,-26.1394,145.6639,2196
2012-01,ASN00044211,-25.3353,147.3,1720
2012-01,ASN00044223,-25.4536,147.3031,1858
2012-01,ASN00045003,-26.9011,144.3386,584
